table_schema	table_name	column_name	data_type	character_maximum_length	is_nullable	column_default
public	dm_dim_holiday_chatbi	date_code	character varying	18	YES	None
public	dm_dim_holiday_chatbi	week_day	character varying	60	YES	None
public	dm_dim_holiday_chatbi	holiday_flag	character varying	10	YES	None
public	dm_fact_onhand_chatbi	store_code	character varying	154	YES	None
public	dm_fact_onhand_chatbi	store_name	character varying	604	YES	None
public	dm_fact_onhand_chatbi	customer_name	character varying	604	YES	None
public	dm_fact_onhand_chatbi	channel	character varying	64	YES	None
public	dm_fact_onhand_chatbi	store_type	character varying	64	YES	None
public	dm_fact_onhand_chatbi	country	character varying	64	YES	None
public	dm_fact_onhand_chatbi	region	character varying	154	YES	None
public	dm_fact_onhand_chatbi	province	character varying	154	YES	None
public	dm_fact_onhand_chatbi	short_name	character varying	154	YES	None
public	dm_fact_onhand_chatbi	city	character varying	604	YES	None
public	dm_fact_onhand_chatbi	area	numeric	None	YES	None
public	dm_fact_onhand_chatbi	cluster	character varying	64	YES	None
public	dm_fact_onhand_chatbi	date_code	character varying	22	YES	None
public	dm_fact_onhand_chatbi	division	character varying	64	YES	None
public	dm_fact_onhand_chatbi	gender	character varying	154	YES	None
public	dm_fact_onhand_chatbi	material	character varying	154	YES	None
public	dm_fact_onhand_chatbi	product_name	character varying	604	YES	None
public	dm_fact_onhand_chatbi	enduse	character varying	154	YES	None
public	dm_fact_onhand_chatbi	silhouette	character varying	304	YES	None
public	dm_fact_onhand_chatbi	sub_silhouette	character varying	604	YES	None
public	dm_fact_onhand_chatbi	fit_type	character varying	154	YES	None
public	dm_fact_onhand_chatbi	key_items	character varying	154	YES	None
public	dm_fact_onhand_chatbi	key_stories	character varying	1504	YES	None
public	dm_fact_onhand_chatbi	product_line	character varying	304	YES	None
public	dm_fact_onhand_chatbi	stock	bigint	None	YES	None
public	dm_fact_onhand_chatbi	intransit	bigint	None	YES	None
public	dm_fact_onhand_chatbi	stock_amt	numeric	None	YES	None
public	dm_fact_onhand_chatbi	intransit_amt	numeric	None	YES	None
public	dm_fact_sales_chatbi	date_code	character varying	18	YES	None
public	dm_fact_sales_chatbi	week_id	integer	None	YES	None
public	dm_fact_sales_chatbi	weekday_id	integer	None	YES	None
public	dm_fact_sales_chatbi	month_id	integer	None	YES	None
public	dm_fact_sales_chatbi	year_id	integer	None	YES	None
public	dm_fact_sales_chatbi	customer_name	character varying	600	YES	None
public	dm_fact_sales_chatbi	customer_sort	integer	None	YES	None
public	dm_fact_sales_chatbi	store_master_code	character varying	600	YES	None
public	dm_fact_sales_chatbi	store_code	character varying	600	YES	None
public	dm_fact_sales_chatbi	store_name	character varying	600	YES	None
public	dm_fact_sales_chatbi	short_name	character varying	600	YES	None
public	dm_fact_sales_chatbi	country	character varying	150	YES	None
public	dm_fact_sales_chatbi	region	character varying	150	YES	None
public	dm_fact_sales_chatbi	province	character varying	150	YES	None
public	dm_fact_sales_chatbi	city	character varying	600	YES	None
public	dm_fact_sales_chatbi	store_type	character varying	150	YES	None
public	dm_fact_sales_chatbi	district_manager	character varying	150	YES	None
public	dm_fact_sales_chatbi	sub_channel	character varying	11	YES	None
public	dm_fact_sales_chatbi	comp_flag	character varying	3	YES	None
public	dm_fact_sales_chatbi	currency	character varying	60	YES	None
public	dm_fact_sales_chatbi	lyd_trans	integer	None	YES	None
public	dm_fact_sales_chatbi	lyd_qty	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_amt	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_amt_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_amt_usd_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_orig_price	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_amt_usd	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_orig_price_usd_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_disc_amt	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_disc_amt_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_disc_amt_usd_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_qty_return	integer	None	YES	None
public	dm_fact_sales_chatbi	lyd_amt_return	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_amt_return_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_amt_return_usd_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_trans_return	integer	None	YES	None
public	dm_fact_sales_chatbi	lyw_trans	integer	None	YES	None
public	dm_fact_sales_chatbi	lyw_qty	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyw_amt_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyw_amt_usd	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyw_amt_usd_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	ld_trans	integer	None	YES	None
public	dm_fact_sales_chatbi	ld_qty	numeric	None	YES	None
public	dm_fact_sales_chatbi	ld_amt	numeric	None	YES	None
public	dm_fact_sales_chatbi	ld_amt_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	ld_amt_usd	numeric	None	YES	None
public	dm_fact_sales_chatbi	lw_trans	integer	None	YES	None
public	dm_fact_sales_chatbi	lw_qty	numeric	None	YES	None
public	dm_fact_sales_chatbi	lw_amt	numeric	None	YES	None
public	dm_fact_sales_chatbi	lw_amt_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	lw_amt_usd	numeric	None	YES	None
public	dm_fact_sales_chatbi	lm_trans	integer	None	YES	None
public	dm_fact_sales_chatbi	lm_qty	numeric	None	YES	None
public	dm_fact_sales_chatbi	lm_amt	numeric	None	YES	None
public	dm_fact_sales_chatbi	lm_amt_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	lm_amt_usd	numeric	None	YES	None
public	dm_fact_sales_chatbi	trans	integer	None	YES	None
public	dm_fact_sales_chatbi	traffic	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyd_traffic	numeric	None	YES	None
public	dm_fact_sales_chatbi	lyw_traffic	numeric	None	YES	None
public	dm_fact_sales_chatbi	qty	numeric	None	YES	None
public	dm_fact_sales_chatbi	amt	numeric	None	YES	None
public	dm_fact_sales_chatbi	amt_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	orig_price	numeric	None	YES	None
public	dm_fact_sales_chatbi	amt_usd_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	orig_price_usd_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	disc_amt	numeric	None	YES	None
public	dm_fact_sales_chatbi	disc_amt_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	disc_amt_usd_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	qty_return	integer	None	YES	None
public	dm_fact_sales_chatbi	amt_return	numeric	None	YES	None
public	dm_fact_sales_chatbi	amt_return_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	amt_return_usd_notax	numeric	None	YES	None
public	dm_fact_sales_chatbi	trans_return	integer	None	YES	None
public	dm_fact_sales_chatbi	ld_traffic	numeric	None	YES	None
public	dm_fact_sales_chatbi	lw_traffic	numeric	None	YES	None
public	dm_fact_sales_chatbi	lm_traffic	numeric	None	YES	None
public	dm_fact_sales_chatbi	avg_monthly_sales	numeric	None	YES	None
public	dm_fact_sales_chatbi	channel	character varying	60	YES	None
public	dm_fact_sales_chatbi	day_comp	character varying	3	YES	None
public	dm_fact_sales_chatbi	week_comp	character varying	3	YES	None
public	dm_fact_sales_chatbi	area	character varying	60	YES	None
public	dm_fact_sales_chatbi	cluster	character varying	60	YES	None
public	dm_fact_sales_chatbi	finance_comp	character varying	3	YES	None
public	dm_fact_sales_chatbi	open_date	character varying	18	YES	None
public	dm_fact_sales_chatbi	msrp	numeric	None	YES	None
public	dm_fact_sales_chatbi	amt_target_f1	numeric	None	YES	None
public	dm_fact_sales_chatbi	amt_notax_target_f1	numeric	None	YES	None
public	dm_fact_sales_chatbi	qty_target_f1	numeric	None	YES	None
public	dm_fact_sales_chatbi	trans_target_f1	numeric	None	YES	None
public	dm_fact_sales_chatbi	traffic_target_f1	numeric	None	YES	None
public	dm_fact_sales_chatbi	amt_usd_target_f1	numeric	None	YES	None
public	dm_fact_sales_chatbi	amt_notax_usd_target_f1	numeric	None	YES	None
public	dm_fact_sales_chatbi	cr_target_f1	numeric	None	YES	None
public	dm_fact_sales_chatbi	asp_target_f1	numeric	None	YES	None
public	dm_fact_sales_chatbi	upt_target_f1	numeric	None	YES	None
public	dm_fact_sales_chatbi	atv_target_f1	numeric	None	YES	None
