date_code,week_id,weekday_id,month_id,year_id,customer_name,customer_sort,store_master_code,store_code,store_name,short_name,country,region,province,city,store_type,district_manager,sub_channel,comp_flag,currency,lyd_trans,lyd_qty,lyd_amt,lyd_amt_notax,lyd_amt_usd_notax,lyd_orig_price,lyd_amt_usd,lyd_orig_price_usd_notax,lyd_disc_amt,lyd_disc_amt_notax,lyd_disc_amt_usd_notax,lyd_qty_return,lyd_amt_return,lyd_amt_return_notax,lyd_amt_return_usd_notax,lyd_trans_return,lyw_trans,lyw_qty,lyw_amt_notax,lyw_amt_usd,lyw_amt_usd_notax,ld_trans,ld_qty,ld_amt,ld_amt_notax,ld_amt_usd,lw_trans,lw_qty,lw_amt,lw_amt_notax,lw_amt_usd,lm_trans,lm_qty,lm_amt,lm_amt_notax,lm_amt_usd,trans,traffic,lyd_traffic,lyw_traffic,qty,amt,amt_notax,orig_price,amt_usd_notax,orig_price_usd_notax,disc_amt,disc_amt_notax,disc_amt_usd_notax,qty_return,amt_return,amt_return_notax,amt_return_usd_notax,trans_return,ld_traffic,lw_traffic,lm_traffic,avg_monthly_sales,channel,day_comp,week_comp,area,cluster,finance_comp,open_date,msrp,amt_target_f1,amt_notax_target_f1,qty_target_f1,trans_target_f1,traffic_target_f1,amt_usd_target_f1,amt_notax_usd_target_f1,cr_target_f1,asp_target_f1,upt_target_f1,atv_target_f1,amt_target_f0,amt_notax_target_f0,qty_target_f0,trans_target_f0,traffic_target_f0,amt_usd_target_f0,amt_notax_usd_target_f0,cr_target_f0,asp_target_f0,upt_target_f0,atv_target_f0,amt_target_f2,amt_notax_target_f2,qty_target_f2,trans_target_f2,traffic_target_f2,amt_usd_target_f2,amt_notax_usd_target_f2,cr_target_f2,asp_target_f2,upt_target_f2,atv_target_f2,amt_target_f3,amt_notax_target_f3,qty_target_f3,trans_target_f3,traffic_target_f3,amt_usd_target_f3,amt_notax_usd_target_f3,cr_target_f3,asp_target_f3,upt_target_f3,atv_target_f3,amt_target_f4,amt_notax_target_f4,qty_target_f4,trans_target_f4,traffic_target_f4,amt_usd_target_f4,amt_notax_usd_target_f4,cr_target_f4,asp_target_f4,upt_target_f4,atv_target_f4,amt_target,amt_notax_target,qty_target,trans_target,traffic_target,amt_usd_target,amt_notax_usd_target,cr_target,asp_target,upt_target,atv_target
2025-02-11,202545,3,202502,2025,Retail,,TWN_0989,DSBH_TWN_0989,Hsinchu Far Eastern Mega City DS,0989,Taiwan,APAC,Taiwan,Hsinchu,BH,Judith chen,BH,Y,TWD,8,28,56316.0000,53635.8363700000,1795.232545,79140.0000,1884.9396760000,2648.876447,22824.000000,21737.324530,763.936770,0,0.000000,0.000000,0.000000,0,17,39,67322.1187300000,2365.9815300000,2253.322904,8,9,23460.0000,22342.1763500000,745.2173150000,4,7,14688.0000,13987.8859100000,466.5708400000,4,7,13855.0000,13194.1787800000,440.1102260000,,,,,,,,,,,,,,,,,,,,,,457712.000000,FP,Y,Y,137.7000,C,Y,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-11,202545,3,202502,2025,Retail,,TWN_0178,DSBH_TWN_0178R,Taipei Songshan Bade SF,0178,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,17,46,90015.0000,85733.0517800000,2869.550942,125080.0000,3012.8710310000,4186.523452,35065.000000,33396.468220,1173.652421,0,0.000000,0.000000,0.000000,0,11,26,52296.0895900000,1837.8128370000,1750.390194,15,25,53172.0000,50638.9493900000,1689.0321860000,10,14,33603.0000,32002.0455300000,1067.4142130000,11,23,40909.0000,38961.6211100000,1299.4925470000,,,,,,,,,,,,,,,,,,,,,,3023975.500000,FP,Y,Y,268.4700,C,Y,2014-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-11,202545,3,202502,2025,Retail,,TWN_0172,DSBH_TWN_0172R,Taichung North Chungyo DS Relocation DS,0172,Taiwan,APAC,Taiwan,Taichung,BH,Judith chen,BH,Y,TWD,34,89,198948.0000,189475.5932000000,6341.893304,274820.0000,6658.9420190000,9198.436002,75872.000000,72258.672700,2539.493982,0,0.000000,0.000000,0.000000,0,23,33,72905.9487100000,2562.2541030000,2440.217973,15,36,81241.0000,77371.3007100000,2580.6564320000,11,22,49776.0000,47403.5051300000,1581.1567380000,19,41,92386.0000,87983.2113800000,2934.6823050000,,,,,,,,,,,,,,,,,,,,,,1491052.000000,FP,Y,Y,114.0000,C,Y,2016-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-11,202545,3,202502,2025,Retail,,TWN_0917,DSBH_TWN_0917,Keelung ESquare SM,0917,Taiwan,APAC,Taiwan,Keelung,BH,Judith chen,BH,Y,TWD,23,45,72031.0000,68600.7699200000,2296.120339,98900.0000,2410.9327690000,3310.258789,26869.000000,25589.252270,899.326020,0,0.000000,0.000000,0.000000,0,18,28,53938.5941700000,1895.5833800000,1805.366081,15,22,44796.0000,42663.1100200000,1422.9648270000,12,16,42776.0000,40740.9268700000,1358.7986300000,14,19,41723.0000,39738.0650300000,1325.3496180000,,,,,,,,,,,,,,,,,,,,,,2507276.000000,FP,Y,Y,260.6000,C,Y,2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-11,202545,3,202502,2025,Retail,,TWN_0975,DSFH_TWN_0975," Taichung Beitun Chongde FH",0975,Taiwan,APAC,Taiwan,Taichung,FH,Judith chen,FH,Y,TWD,30,137,128568.0000,122445.3720500000,4098.340435,348160.0000,4303.2694850000,11653.182004,219592.000000,209134.275470,7349.912519,13,14487.000000,14487.000000,484.890992,2,48,270,247239.0958200000,8688.8435850000,8275.282003,14,32,39062.0000,37201.2845900000,1240.8217720000,23,75,79830.0000,76024.3599700000,2535.8353910000,17,59,70696.0000,67329.2818200000,2245.6898260000,,,,,,,,,,,,,,,,,,,,,,2470502.500000,FP,Y,Y,510.0000,C,Y,2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-11,202545,3,202502,2025,Retail,,TWN_0630,DSBH_TWN_0630R,Kaohsiung IH Chiancheng Dreammall SM - Relocation DS,0630,Taiwan,APAC,Taiwan,Kaohsiung,BH,Judith chen,BH,Y,TWD,97,153,303109.0000,288677.9083900000,9662.270815,398340.0000,10145.2905110000,13332.745059,95231.000000,90696.424600,3187.454548,2,7848.000000,7848.000000,262.678575,1,80,175,325593.5659200000,11442.9855920000,10897.866162,10,20,44950.0000,42810.1459700000,1427.8567060000,23,48,99001.0000,94284.3566000000,3144.8107170000,56,115,250258.0000,238345.0272100000,7949.5564740000,,,,,,,,,,,,,,,,,,,,,,3941406.000000,FP,Y,Y,283.1000,C,Y,2017-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-11,202545,3,202502,2025,Retail,,TWN_0408,DSBH_TWN_0408,Taipei Daan Daan SF,0408,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,27,50,94361.0000,89869.2233500000,3007.991774,131800.0000,3158.3349810000,4411.447002,37439.000000,35655.739510,1253.112020,2,1568.000000,1568.000000,52.482162,1,21,36,64082.4527800000,2252.2143950000,2144.888802,12,35,62611.0000,59631.0308600000,1988.8662110000,11,23,40419.0000,38492.0759400000,1283.9274790000,15,33,56983.0000,54270.5280900000,1810.0902930000,,,,,,,,,,,,,,,,,,,,,,6083928.500000,FP,Y,Y,491.0000,C,Y,2016-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-11,202545,3,202502,2025,Retail,,TWN_0637,DSFH_TWN_0637,Taoyuan Chungli Gloria FH,0637,Taiwan,APAC,Taiwan,Taoyuan,FH,Judith chen,FH,Y,TWD,305,747,920596.0000,876758.8374600000,29345.790174,1904360.0000,30813.0535980000,63740.388565,983764.000000,936922.627900,32927.334966,3,2880.000000,2880.000000,96.395806,3,271,524,626020.2767900000,22000.8367690000,20953.378401,39,63,79993.0000,76178.7784100000,2541.0131580000,54,126,139362.0000,132721.2630000000,4426.8958010000,102,280,355249.0000,338327.4485300000,11284.6422010000,,,,,,,,,,,,,,,,,,,,,,6739967.500000,FP,Y,Y,370.9000,C,Y,2015-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-11,202545,3,202502,2025,Retail,,TWN_0151,DSBH_TWN_0151E,"Taipei Daan Chungxiao SOGO DS  ",0151,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,31,56,111751.0000,106426.8684500000,3562.188844,150080.0000,3740.3916070000,5023.292610,38329.000000,36503.076340,1282.901002,0,0.000000,0.000000,0.000000,0,36,53,117709.5960400000,4136.7858930000,3939.830383,3,6,14354.0000,13669.8873200000,455.9611820000,13,24,51430.0000,48982.9687400000,1633.6967820000,21,49,99603.0000,94858.1797200000,3163.9335140000,,,,,,,,,,,,,,,,,,,,,,1283309.500000,FP,Y,Y,57.9000,C,Y,2015-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-11,202545,3,202502,2025,Retail,,TWN_0241,DSBH_TWN_0241,Taipei Datong Q Square DS,0241,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,33,45,100936.0000,96128.4024500000,3217.491295,136000.0000,3378.4052700000,4552.024220,35064.000000,33393.818990,1173.618950,1,4752.000000,4752.000000,159.053082,1,29,49,90481.6618700000,3179.8901550000,3028.490561,7,15,27424.0000,26118.7999300000,871.1355350000,7,11,23104.0000,22003.0475500000,733.9088170000,19,36,83193.0000,79231.3789300000,2642.6625790000,,,,,,,,,,,,,,,,,,,,,,890644.500000,FP,Y,Y,121.0000,C,Y,2015-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
