store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel
3,CHN_0090,DSBH_CHN_0090,Xi'an Tangyan Road Novo Sports City SM Relocation BHCC,2,10,Mainland,West,Shaanxi,Xian,BH,0090,137.0000,,,,,,,,2022-04-30 00:00:00,Qing Yan,Open,2025-02-11 13:32:26.95741,2025-02-11 05:34:12.378784,-1,137.0000,C,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250211042928.csv,0019071656,唐延路五环NOVO店,陕西省西安市高新区唐延路168号唐延中心城LG层五环NOVO店,,029-81326851,,,,
59,CHN_0251,DSBH_CHN_0251E,Hefei Baohe Wanda DS Expansion,2,16,Mainland,YY,Anhui,Hefei,BH,0251,226.0000,,,,,,,,2018-09-23 00:00:00,Owen Chen,Closed,2025-02-11 13:32:26.95741,2025-02-11 05:34:12.378784,-1,226.0000,B,2024-11-17 00:00:00,,,Sales_Collect_JY : store_20250211042928.csv,0019071668,Hefei Baohe Wanda DS Expansion,,,,,,,
67,CHN_0279,DSBH_CHN_0279,Harbin Shenhe Dacheng Sports C,2,7,Mainland,North,Heilongjiang,Harbin,BH,0279,180.0000,,,,,,,,2015-06-23 00:00:00,Qing Yan,Closed,2025-02-11 13:32:26.95741,2025-02-11 05:34:12.378784,208546,180.0000,B,2022-02-28 00:00:00,,,Sales_Collect_JY : store_20250211042928.csv,0019071683,Harbin Shenhe Dacheng Sports C,,,,,,,
87,CHN_0329,DSBH_CHN_0329,Xiamen Jimei Wanda Plaza SM,2,1,Mainland,South,Fujian,Xiamen,BH,0329,91.0000,,,,,,,,2015-09-17 00:00:00,Qing Yan,Closed,2025-02-11 13:32:26.95741,2025-02-11 05:34:12.378784,-1,91.0000,C,2021-09-01 00:00:00,,,Sales_Collect_JY : store_20250211042928.csv,0019071726,Xiamen Jimei Wanda Plaza SM,,,,,,,
101,CHN_0355,DSBH_CHN_0355RR,Xi'an Yantai Saga Shopping Mall SM - Relocation,2,10,Mainland,West,Shaanxi,Xian,BH,0355,196.0000,,,,,,,,2021-09-01 00:00:00,Qing Yan,Open,2025-02-11 13:32:26.95741,2025-02-11 05:34:12.378784,-1,196.0000,B,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250211042928.csv,0019071656,西安赛格国际购物中心,陕西省西安市雁塔区长安中路123号赛格国际购物中心5F,,029-89329528,,,,
103,CHN_0359,DSBH_CHN_0359,Kunming Wuhua Shuncheng mall SM,2,9,Mainland,South,Yunnan,Kunming,BH,0359,195.0000,,,,,,,,2015-10-20 00:00:00,Qing Yan,Open,2025-02-11 13:32:26.95741,2025-02-11 05:34:12.378784,-1,195.0000,B,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250211042928.csv,0019087569,昆明顺城购物中心UA专卖店,云南省昆明市五华区东风西路11号顺城购物中心负一层1-09A、1-09B商铺,,,,15924752441,,
109,CHN_0367,DSBH_CHN_0367R,Xiamen Siming the Atlantic Rai,2,1,Mainland,South,Fujian,Xiamen,BH,0367,172.0000,,,,,2329,,,2018-08-17 00:00:00,Qing Yan,Open,2025-02-11 13:32:26.95741,2025-02-11 05:34:12.378784,-1,172.0000,B,9999-12-31 00:00:00,,Y,Sales_Collect_JY : store_20250211042928.csv,0019071726,Xiamen Siming the Atlantic Rai,,,,,,,
143,CHN_0456,DSBH_CHN_0456,Beijing Shunyi Shine hills Mal,2,5,Mainland,North,Beijing,Beijing,BH,0456,520.0000,,,,,,,,2016-05-21 00:00:00,Qing Yan,Open,2025-02-11 13:32:26.95741,2025-02-11 05:34:12.378784,-1,520.0000,AA,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250211042928.csv,0019078973,Beijing Shunyi Shine hills Mal,,,,,,,
162,CHN_0519,DSBH_CHN_0519,Zhenjiang Zhongshan East Sunin,2,2,Mainland,East,Jiangsu,Zhenjiang,BH,0519,231.0000,,,,,,,,2016-06-09 00:00:00,Qing Yan,Open,2025-02-11 13:32:26.95741,2025-02-11 05:34:12.378784,-1,231.0000,B,9999-12-31 00:00:00,,Y,Sales_Collect_JY : store_20250211042928.csv,0019071673,Zhenjiang Zhongshan East Sunin,,,,,,,
166,CHN_0551,DSBH_CHN_0551,Kunming Zhengyi Road SF,2,9,Mainland,South,Yunnan,Kunming,BH,0551,170.0000,,,,,,,,2016-07-05 00:00:00,Qing Yan,Closed,2025-02-11 13:32:26.95741,2025-02-11 05:34:12.378784,-1,170.0000,B,2021-07-02 00:00:00,,,Sales_Collect_JY : store_20250211042928.csv,0019087569,Kunming Zhengyi Road SF,,,,,,,
