store_code,store_name,customer_name,channel,store_type,country,region,province,short_name,city,area,cluster,date_code,division,gender,material,product_name,enduse,silhouette,sub_silhouette,fit_type,key_items,key_stories,product_line,stock,intransit,stock_amt,intransit_amt
DSBH_CHN_2401,Jincheng Shengya Plaza DS BHCC,SHANXI MAXSPORT,FP,BH,Mainland,North,Shanxi,2401,Jincheng,170.0000,B,2025-02-14,Apparel,Mens,1257468-001,UA HG ARMOUR SS,Training,Tops,Short-Sleeves,Compression,Others,Others,MFO,-11,0,-2739.0000,0.0000
DSBH_CHN_OL11,SXMAX TM store,SHANXI MAXSPORT,FP,BH,Mainland,North,Shanxi,OL11,Taiyuan,0.0000,,2025-02-14,Apparel,Mens,1257468-001,UA HG ARMOUR SS,Training,Tops,Short-Sleeves,Compression,Others,Others,MFO,-132,0,-32868.0000,0.0000
UAFH_CHN_1508R,Wanning Wangfujing Outlets,Retail,O&O,FH,Mainland,South,Hainan,1508,Wanning,388.0000,,2025-02-14,Apparel,Mens,1290261-001,SPORTSTYLE TRICOT JOGGER,Sportstyle,Bottoms,Pants,Loose,Others,Others,Inline,2,4,1198.0000,2396.0000
DSBH_CHN_0756,Yiwu Zhixin Mall SM,SH Sparkling,FP,BH,Mainland,East,Zhejiang,0756,Yiwu,250.0000,B,2025-02-14,Apparel,Mens,1311388-986,MK1 DASH PRINT SS,Training,Tops,Short-Sleeves,Fitted,Raid 2.0,,Inline,0,1,0.0000,329.0000
DSBH_CHN_TP15,SHANXI MAXSPORT group sale store,SHANXI MAXSPORT,FP,BH,Mainland,North,Shanxi,TP15,Taiyuan,0.0000,,2025-02-14,Apparel,Womens,1326512-013,UA Qualifier Half Zip-GRY,Running,Tops,Long-Sleeves,Fitted,Others,Others,MFO,-31,0,-18569.0000,0.0000
DSBH_CHN_OL11,SXMAX TM store,SHANXI MAXSPORT,FP,BH,Mainland,North,Shanxi,OL11,Taiyuan,0.0000,,2025-02-14,Apparel,Mens,1290261-001,SPORTSTYLE TRICOT JOGGER,Sportstyle,Bottoms,Pants,Loose,Others,Others,Inline,-1,0,-599.0000,0.0000
DSBH_CHN_TMP1,Sparkling Office Store,SH Sparkling,FP,BH,Mainland,East,Jiangsu,TMP1,Suzhou,0.0000,,2025-02-14,Apparel,Mens,1271823-002,THREADBORNE STREAKER SS,Running,Tops,Short-Sleeves,Fitted,Others,,Inline,-7,0,-2093.0000,0.0000
UAFH_CHN_1437,Beijing Capital Outlet FH,Retail,O&O,FH,Mainland,North,Beijing,1437,Beijing,290.0000,OL,2025-02-14,Apparel,Mens,1327972-001,Velocity Muscle Tank,Training,Tops,Sleeveless,Loose,Others,Others,MFO,31,0,7099.0000,0.0000
DSBH_CHN_1277,Changzhi Wanda SM,SHANXI MAXSPORT,FP,BH,Mainland,North,Shanxi,1277,Changzhi,178.0000,B,2025-02-14,Apparel,Mens,1328654-001,UA Vanish Woven Shorts,Training,Bottoms,Shorts,Fitted,VANISH,,Inline,-21,0,-8379.0000,0.0000
DSBH_CHN_1003,"Datong Wanda Plaza SM  ",SHANXI MAXSPORT,FP,BH,Mainland,North,Shanxi,1003,Datong,200.0000,B,2025-02-14,Apparel,Mens,1328654-001,UA Vanish Woven Shorts,Training,Bottoms,Shorts,Fitted,VANISH,,Inline,-13,0,-5187.0000,0.0000
