store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel
843,CHN_1416,DSBH_CHN_1416,Shanghai Songjiang Jiu Ting SM,2,2,Mainland,East,Shanghai,Shanghai,BH,1416,206.0000,,,,,,,,2020-12-22 00:00:00,Qing Yan,Open,2025-02-17 13:33:23.819407,2025-02-17 05:35:13.173347,-1,206.0000,B,9999-12-31 00:00:00,3115,Y,Sales_Collect_JY : store_20250217042924.csv,0019071673,Shanghai Songjiang Jiu Ting SM,上海市松江区沪亭北路99弄金地九亭中心,L2010-2012商铺,021-57720256,,,102,
2189,CHN_1892,UABH_CHN_1892,Hangzhou Xihu In77,3,22,Mainland,East_Other,Zhejiang,Hangzhou,BH,IN77,1111.0000,,,,,,,,2021-01-15 00:00:00,East-5,Open,2025-02-17 13:33:26,2025-02-17 05:35:13.173347,-1,1111.0000,,9999-12-31 00:00:00,3142,,EDC : EDC_STORE_OO_CN20241216165012-3088,,杭州 In77 交互式体验旗舰店,浙江省杭州市上城区东坡路18号,湖滨银泰IN77B区,0571-89779525,,,127,
3819,CHN_2759,DSFH_CHN_2759,Chongqing Yubei Sasseur Outlets FH Youth,2,83,Mainland,West,Chongqing,Chongqing,FH,2759,60.0000,,,,,,,,2025-08-25 00:00:00,,Open,2025-02-17 13:33:23.819407,2025-02-17 05:35:13.173347,-1,60.0000,,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250217042924.csv,0019075766,重庆渝北区砂之船奥莱童装,,,,,,,线下
2193,CHN_1923,UAFH_CHN_1923,BEIJING YANSHA OUTLETS,3,22,Mainland,North,Beijing,Beijing,FH,BJYS,230.0000,,,,,,,,2021-01-28 00:00:00,North-1,Open,2025-02-17 13:33:26,2025-02-17 05:35:13.173347,-1,230.0000,,9999-12-31 00:00:00,3159,,EDC : EDC_STORE_OO_CN20241216165012-3088,,北京燕莎奥莱,北京市朝阳区东四环南路9号,燕莎奥特莱斯B座2F商铺,010-67322570,,,143,
3821,CHN_0031,POPUP_CHN_0031,"Nanjing Xianlin Golden Eagle SM POPUP KIDS   ",2,83,Mainland,East,Jiangsu,Nanjing,BH,0031,80.0000,,,,,,,,2024-12-28 00:00:00,,Open,2025-02-17 13:33:23.819407,2025-02-17 05:35:13.173347,-1,80.0000,,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250217042924.csv,0019075766,南京仙林金鹰临时特卖店童装,,,,,,,线下
202,CHN_0631,DSBH_CHN_0631,Hangzhou Binjiang Powerlong SM,2,2,Mainland,East,Zhejiang,Hangzhou,BH,0631,557.0000,,,,,,,,2020-12-15 00:00:00,Qing Yan,Closed,2025-02-17 13:33:23.819407,2025-02-17 05:35:13.173347,-1,557.0000,AA,2023-05-31 00:00:00,3035,Y,Sales_Collect_JY : store_20250217042924.csv,0019071673,Hangzhou Binjiang Powerlong SM,浙江省杭州市滨江区浦沿街道火炬大道581号,宝龙城市广场1楼046铺,000-0000,,00000000,53,线下
3,CHN_0090,DSBH_CHN_0090,Xi'an Tangyan Road Novo Sports City SM Relocation BHCC,2,10,Mainland,West,Shaanxi,Xian,BH,0090,137.0000,,,,,,,,2022-04-30 00:00:00,Qing Yan,Open,2025-02-17 13:33:23.819407,2025-02-17 05:35:13.173347,-1,137.0000,C,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250217042924.csv,0019071656,唐延路五环NOVO店,陕西省西安市高新区唐延路168号唐延中心城LG层五环NOVO店,,029-81326851,,,,
635,CHN_1317,DSBH_CHN_1317,Shanghai Pudong L+ Mall SM,2,2,Mainland,East,Shanghai,Shanghai,BH,1317,220.0000,,,,,,,,2021-12-01 00:00:00,Qing Yan,Open,2025-02-17 13:33:23.819407,2025-02-17 05:35:13.173347,-1,220.0000,B,9999-12-31 00:00:00,3076,,Sales_Collect_JY : store_20250217042924.csv,0019071673,上海陆家嘴中心,"上海市浦东新区浦东南路879,889号",陆家嘴中心6楼606商铺,021-50820612,,,68,
59,CHN_0251,DSBH_CHN_0251E,Hefei Baohe Wanda DS Expansion,2,16,Mainland,YY,Anhui,Hefei,BH,0251,226.0000,,,,,,,,2018-09-23 00:00:00,Owen Chen,Closed,2025-02-17 13:33:23.819407,2025-02-17 05:35:13.173347,-1,226.0000,B,2024-11-17 00:00:00,,,Sales_Collect_JY : store_20250217042924.csv,0019071668,Hefei Baohe Wanda DS Expansion,,,,,,,
636,CHN_1345,DSBH_CHN_1345,Guangzhou Panyu Aoyuan SM,2,21,Mainland,South,Guangdong,Guangzhou,BH,1345,497.0000,,,,,,,,2022-04-01 00:00:00,Qing Yan,Open,2025-02-17 13:33:23.819407,2025-02-17 05:35:13.173347,-1,497.0000,AA,9999-12-31 00:00:00,3083,,Sales_Collect_JY : store_20250217042924.csv,0019075562,广州番禺奥园UA门店,广东省广州市番禺区桥南街福德路,"奥园广场一层132,133号铺",020-31132090,,,70,
