store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel
47,TWN_0214,DSBH_TWN_0214,Taichung West Sogo Guangsan DS,2,22,Taiwan,APAC,Taiwan,Taichung,BH,0214,110.4000,,,,,,,,2014-12-03 00:00:00,Judith chen,Close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,110.4000,C,2023-07-17 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
178,TWN_0587,DSBH_TWN_0587R,Chaiyi West Chungshan SF,2,22,Taiwan,APAC,Taiwan,Chiayi,BH,0587,157.0000,,,,,,,,2016-01-08 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,157.0000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
122,TWN_0393,DSBH_TWN_0393,Taipei Shilin SOGO DS,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0393,98.2000,,,,,,,,2015-12-28 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,98.2000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
321,TWN_0975,DSFH_TWN_0975," Taichung Beitun Chongde FH",2,22,Taiwan,APAC,Taiwan,Taichung,FH,0975,510.0000,,,,,,,,2017-09-21 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,510.0000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
189,TWN_0607,DSBH_TWN_0607,Kaohsiung Zuoying Yucheng SF,2,22,Taiwan,APAC,Taiwan,Kaohsiung,BH,0607,297.6000,,,,,,,,2016-09-29 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,297.6000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
370,TWN_0541,DSBH_TWN_0541,Taoyuan Luzhu Taimall DS,2,22,Taiwan,APAC,Taiwan,Taoyuan,BH,0541,132.6000,,,,,,,,2016-08-05 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,132.6000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
242,TWN_0687,DSFH_TWN_0687,Taipei City Neihu Leeco FH,2,22,Taiwan,APAC,Taiwan,Taipei,FH,0687,102.4000,,,,,,,,2017-06-01 00:00:00,Judith chen,close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,102.4000,C,2021-06-27 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
373,TWN_0735,DSBH_TWN_0735,Kaohsiung Juejiang Feng Shan SF,2,22,Taiwan,APAC,Taiwan,Kaohsiung,BH,0735,284.4000,,,,,,,,2017-12-19 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,284.4000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
278,TWN_0833,DSBH_TWN_0833,Taichung Xitun M Square SF,2,22,Taiwan,APAC,Taiwan,Taichung,BH,0833,338.6000,,,,,,,,2017-06-21 00:00:00,Judith chen,Close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,338.6000,C,2023-12-12 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
398,TWN_1078,DSBH_TWN_1078,Haulien Chungcheng SF,2,22,Taiwan,APAC,Taiwan,Hualien,BH,1078,228.6000,,,,,,,,2018-02-22 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,228.6000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
