ds_sid,date_sid,store_sid,date_code,store_master_code,store_code,store_name,short_name,channel,store_type,country,region,province,city,address1,address2,address3,latitude,longitude,zip_code,customer_code,customer_name,customer_sort,warehouse_code,warehouse_name,district_manager,pin_code,b1_code,fms_site_code,sit_code,sap_customer_code,area,cluster,open_date,close_date,open_flag,keep_comp,comp_flag,finance_comp,active_flag,source_interface,source_sys,hdetl_date,store_local_name,phone1,phone2,store_no,subchannel
20250212003767,45698,3767,2025-02-12 00:00:00,UA_COM,TWN_UA_COM,UA COM,UA COM,FP,EC-TW,Taiwan,,,,,,,,,,,,,,,,,,,,,0.0000,,2021-04-09 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,EC_UBH : TableName:UBH_DIM_STORE_EC,2025-02-17 05:34:19,,,,,
20250212003768,45698,3768,2025-02-12 00:00:00,TWN_PCHOME,TWN_PCHOME,PCHOME,PCHOME,FP,EC-TW,Taiwan,,,,,,,,,,,,,,,,,,,,,0.0000,,2019-04-19 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,EC_UBH : TableName:UBH_DIM_STORE_EC,2025-02-17 05:34:19,,,,,
20250212003769,45698,3769,2025-02-12 00:00:00,TWN_MOMO,TWN_MOMO,MOMO,MOMO,FP,EC-TW,Taiwan,,,,,,,,,,,,,,,,,,,,,0.0000,,2019-01-02 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,EC_UBH : TableName:UBH_DIM_STORE_EC,2025-02-17 05:34:19,,,,,
20250212003770,45698,3770,2025-02-12 00:00:00,TWN_SHOPEE,TWN_SHOPEE,SHOPEE,SHOPEE,FP,EC-TW,Taiwan,,,,,,,,,,,,,,,,,,,,,0.0000,,2019-08-25 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,EC_UBH : TableName:UBH_DIM_STORE_EC,2025-02-17 05:34:19,,,,,
20250212003771,45698,3771,2025-02-12 00:00:00,TWN_YAHOO,TWN_YAHOO,YAHOO,YAHOO,FP,EC-TW,Taiwan,,,,,,,,,,,,,,,,,,,,,0.0000,,2019-04-26 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,EC_UBH : TableName:UBH_DIM_STORE_EC,2025-02-17 05:34:19,,,,,
20250212003042,45698,3042,2025-02-12 00:00:00,TWN_1958,DSBH_TWN_1958,Hsinchu Zhubei Far Eastern DS,1958,FP,BH,Taiwan,,Taiwan,Hsinchu,,,,,,,001,Retail,,,,Judith chen,,,,,,124.1000,,2022-01-14 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212003043,45698,3043,2025-02-12 00:00:00,TWN_2072,DSFH_TWN_2072,Tainan Mitsui FH,2072,FP,FH,Taiwan,,Taiwan,Tainan,,,,,,,001,Retail,,,,Judith chen,,,,,,288.6000,,2022-02-16 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000362,45698,362,2025-02-12 00:00:00,EC-TW,EC-TW,EC-TW,EC-TW,FP,EC-TW,Taiwan,,,,,,,,,,,,,,,,,,,,,0.0000,,2021-04-07 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,EC_UBH : TableName:UBH_DIM_STORE_EC,2025-02-17 05:34:19,,,,,
20250212000006,45698,6,2025-02-12 00:00:00,TWN_0129,DSBH_TWN_0129,Taichung Xitun Far Eastern Top City DS,0129,FP,BH,Taiwan,APAC,Taiwan,Taichung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,93.8500,C,2013-09-20 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000011,45698,11,2025-02-12 00:00:00,TWN_0142,DSBH_TWN_0142,Taipei Daan Chungxiao SF,0142,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,191.0000,C,2013-12-30 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000012,45698,12,2025-02-12 00:00:00,TWN_0148,DSBH_TWN_0148R,Hsinchu East Far Eastern Big city DS,0148,FP,BH,Taiwan,APAC,Taiwan,Hsinchu,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,98.2000,C,2014-03-07 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000013,45698,13,2025-02-12 00:00:00,TWN_0151,DSBH_TWN_0151E,"Taipei Daan Chungxiao SOGO DS  ",0151,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,57.9000,C,2015-10-15 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000014,45698,14,2025-02-12 00:00:00,TWN_0152,DSBH_TWN_0152R,Taichung Xitun Mitsukoshi DS,0152,FP,BH,Taiwan,APAC,Taiwan,Taichung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,172.3000,C,2016-09-07 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000024,45698,24,2025-02-12 00:00:00,TWN_0172,DSBH_TWN_0172R,Taichung North Chungyo DS Relocation DS,0172,FP,BH,Taiwan,APAC,Taiwan,Taichung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,114.0000,C,2016-07-16 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000028,45698,28,2025-02-12 00:00:00,TWN_0178,DSBH_TWN_0178R,Taipei Songshan Bade SF,0178,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,268.4700,C,2014-07-19 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000033,45698,33,2025-02-12 00:00:00,TWN_0192,DSBH_TWN_0192,Kaohsiung Zuoying Mitsukoshi DS,0192,FP,BH,Taiwan,APAC,Taiwan,Kaohsiung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,102.5000,C,2014-09-06 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000039,45698,39,2025-02-12 00:00:00,TWN_0200,DSBH_TWN_0200R,Taipei Xinyi Mitsukoshi A11 DS,0200,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,82.3100,C,2017-04-15 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000040,45698,40,2025-02-12 00:00:00,TWN_0205,DSFH_TWN_0205,Kaohsiung Dashu E-DA FH,0205,FP,FH,Taiwan,APAC,Taiwan,Kaohsiung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,127.9000,C,2014-10-27 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000058,45698,58,2025-02-12 00:00:00,TWN_0241,DSBH_TWN_0241,Taipei Datong Q Square DS,0241,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,121.0000,C,2015-03-14 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000105,45698,105,2025-02-12 00:00:00,TWN_0361,DSBH_TWN_0361,Tainan West Central Mitsukoshi Ximen DS,0361,FP,BH,Taiwan,APAC,Taiwan,Tainan,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,111.9000,C,2015-10-23 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000122,45698,122,2025-02-12 00:00:00,TWN_0393,DSBH_TWN_0393,Taipei Shilin SOGO DS,0393,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,98.2000,C,2015-12-28 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000124,45698,124,2025-02-12 00:00:00,TWN_0399,DSFH_TWN_0399,New Taipei Linkou Mitsui FH,0399,FP,FH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,218.9000,C,2016-01-27 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000128,45698,128,2025-02-12 00:00:00,TWN_0408,DSBH_TWN_0408,Taipei Daan Daan SF,0408,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,491.0000,C,2016-03-24 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000178,45698,178,2025-02-12 00:00:00,TWN_0587,DSBH_TWN_0587R,Chaiyi West Chungshan SF,0587,FP,BH,Taiwan,APAC,Taiwan,Chiayi,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,157.0000,C,2016-01-08 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000189,45698,189,2025-02-12 00:00:00,TWN_0607,DSBH_TWN_0607,Kaohsiung Zuoying Yucheng SF,0607,FP,BH,Taiwan,APAC,Taiwan,Kaohsiung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,297.6000,C,2016-09-29 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000192,45698,192,2025-02-12 00:00:00,TWN_0611,DSBH_TWN_0611,New Taipei Panchiao Far Eastern Mega City DS,0611,FP,BH,Taiwan,APAC,Taiwan,Taipei,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,113.9000,C,2016-09-14 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000203,45698,203,2025-02-12 00:00:00,TWN_0633,DSFH_TWN_0633,Taichung Houli Lihbao FH,0633,FP,FH,Taiwan,APAC,Taiwan,Taichung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,303.6000,C,2016-12-29 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000206,45698,206,2025-02-12 00:00:00,TWN_0637,DSFH_TWN_0637,Taoyuan Chungli Gloria FH,0637,FP,FH,Taiwan,APAC,Taiwan,Taoyuan,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,370.9000,C,2015-12-17 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000288,45698,288,2025-02-12 00:00:00,TWN_0850,DSBH_TWN_0850,Tainan City Anpin Store SF,0850,FP,BH,Taiwan,APAC,Taiwan,Tainan,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,496.2000,C,2017-06-19 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000321,45698,321,2025-02-12 00:00:00,TWN_0975,DSFH_TWN_0975," Taichung Beitun Chongde FH",0975,FP,FH,Taiwan,APAC,Taiwan,Taichung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,510.0000,C,2017-09-21 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000333,45698,333,2025-02-12 00:00:00,TWN_0989,DSBH_TWN_0989,Hsinchu Far Eastern Mega City DS,0989,FP,BH,Taiwan,APAC,Taiwan,Hsinchu,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,137.7000,C,2017-10-10 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000367,45698,367,2025-02-12 00:00:00,TWN_0630,DSBH_TWN_0630R,Kaohsiung IH Chiancheng Dreammall SM - Relocation DS,0630,FP,BH,Taiwan,APAC,Taiwan,Kaohsiung,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,283.1000,C,2017-10-28 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
20250212000370,45698,370,2025-02-12 00:00:00,TWN_0541,DSBH_TWN_0541,Taoyuan Luzhu Taimall DS,0541,FP,BH,Taiwan,APAC,Taiwan,Taoyuan,,,,,,,001,Retail,,,,Judith chen,,,,,0013163268,132.6000,C,2016-08-05 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Data_Collect_TW : store_20250217.csv,2025-02-17 13:33:26.109554,,,,,
