store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel,door_type,end_partner,customer_group
198,CHN_0618,DSBH_CHN_0618,Taiyuan Meisha International S,2,11,Mainland,North,Shanxi,Taiyuan,BH,0618,240.0000,,,,,,,,2016-09-30 00:00:00,Qing Yan,Open,2024-11-25 22:32:27.285658,2024-11-25 14:34:12.481233,-1,240.0000,B,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20241125132900.csv,0019071662,Taiyuan Meisha International S,,,,,,,,,,
2238,CHN_P006,UAFH_CHN_P006,Foshan Florentia POPUP,3,22,Mainland,South,Guangdong,Foshan,FH,FSOLPOP,150.0000,,,,,,,,2021-04-01 00:00:00,South-3,Closed,2024-11-20 13:32:26,2024-11-20 05:34:11.846605,-1,150.0000,,2021-05-06 00:00:00,3124,,EDC : EDC_STORE_OO_CN20241010103006-3085,,UAFH_CHN_P006,江苏省南京市秣周东路12号砂之船,奥莱C馆1楼06号商铺,0,,,105,,,,
324,CHN_0979,DSBH_CHN_0979,Shenzhen Sun Plaza DS,2,21,Mainland,South,Guangdong,Shenzhen,BH,0979,215.0000,,,,,,,,2017-09-25 00:00:00,Qing Yan,Open,2024-10-21 22:31:27.27885,2024-10-21 14:33:13.318922,-1,215.0000,B,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20241021042923.csv,0019075562,Shenzhen Sun Plaza DS,,,,,,,,,,
205,CHN_0636,UABH_CHN_0636,"Raffles City,Shanghai",3,22,Mainland,East_SH,Shanghai,Shanghai,BH,0636,170.0000,,,,,,,,2015-12-31 00:00:00,East-10,Closed,2023-03-15 09:37:16.36,2023-03-15 09:38:06.34,-1,170.0000,,2018-10-15 00:00:00,0,,EDC : EDC_STORE_OO_CN20230221174044-3025,,,,,,,,,,,,
43,CHN_0208,UABH_CHN_0208,DACI Temple,3,22,Mainland,South,Sichuan,Chengdu,BH,0208,308.0000,,,,,,,,2014-10-31 00:00:00,South-2,Closed,2023-03-15 09:37:16.36,2023-03-15 09:38:06.34,-1,308.0000,,2018-09-02 00:00:00,0,,EDC : EDC_STORE_OO_CN20230221174044-3025,,,,,,,,,,,,
89,CHN_0333,UABH_CHN_0333,Tianjin Raffles,3,22,Mainland,North,Tianjin,Tianjin,BH,0333,139.0000,,,,,,,,2015-09-23 00:00:00,North-1,Closed,2023-03-15 09:37:16.36,2023-03-15 09:38:06.34,-1,139.0000,,2018-09-11 00:00:00,0,,EDC : EDC_STORE_OO_CN20230221174044-3025,,,,,,,,,,,,
46,CHN_0211,UABH_CHN_0211,"Chamtime Plaza, Shanghai",3,22,Mainland,East_SH,Shanghai,Shanghai,BH,0211,220.0000,,,,,,,,2014-11-18 00:00:00,East-10,Closed,2023-03-15 09:37:16.36,2023-03-15 09:38:06.34,-1,220.0000,,2017-03-01 00:00:00,0,,EDC : EDC_STORE_OO_CN20230221174044-3025,,,,,,,,,,,,
1,CHN_0049,UABH_CHN_0049,"GG, SHANGHAI",3,22,Mainland,East_SH,Shanghai,Shanghai,BH,0049,202.0000,,,,,,,,2011-04-28 00:00:00,East-10,Closed,2023-03-15 09:37:16.36,2023-03-15 09:38:06.34,-1,202.0000,,2018-02-23 00:00:00,0,,EDC : EDC_STORE_OO_CN20230221174044-3025,,,,,,,,,,,,
7,CHN_0131,UABH_CHN_0131,Shanghai NW,3,22,Mainland,East_SH,Shanghai,Shanghai,BH,0131,241.0000,,,,,,,,2013-10-17 00:00:00,East-10,Closed,2023-03-15 09:37:16.36,2023-03-15 09:38:06.34,-1,241.0000,,2019-03-11 00:00:00,3010,,EDC : EDC_STORE_OO_CN20230221174044-3025,,,,,,,,,,,,
97,CHN_0342,UABH_CHN_0342,Guangzhou GrandView,3,22,Mainland,South,Guangdong,Guangzhou,BH,0342,210.0000,,,,,,,,2015-05-01 00:00:00,South-1,Closed,2023-03-15 09:37:16.36,2023-03-15 09:38:06.34,-1,210.0000,,2018-10-28 00:00:00,0,,EDC : EDC_STORE_OO_CN20230221174044-3025,,,,,,,,,,,,
104,CHN_0360,UABH_CHN_0360,"Kerry Park Side, Shanghai",3,22,Mainland,East_SH,Shanghai,Shanghai,BH,0360,207.0000,,,,,,,,2015-10-22 00:00:00,East-10,Closed,2023-03-15 09:37:16.36,2023-03-15 09:38:06.34,-1,207.0000,,2018-10-09 00:00:00,0,,EDC : EDC_STORE_OO_CN20230221174044-3025,,,,,,,,,,,,
2541,2021-BH-6,2021-BH-6,Taikoo pop up,3,22,Mainland,South,,,FH,,,,,,,,,,2021-08-07 00:00:00,,Closed,2021-12-04 11:33:22.487,2022-03-10 13:36:17.063,210354,100,,2021-09-07 00:00:00,2021-BH-6,,EDC_STORE_OO_CN20220301103527-2648,,,,,,,,,,,,
2639,POPUP4,POPUP4,POPUP4,3,22,Mainland,Dummy,,,FH,,,,,,,,,,2021-01-01 00:00:00,,Closed,2022-01-20 13:02:18.127,2022-03-10 13:36:17.063,210354,,,2021-01-01 00:00:00,POPUP4,,EDC_STORE_OO_CN20220301103527-2648,,,,,,,,,,,,
2640,Shanghai K11,Shanghai K11,Shanghai K11,3,22,Mainland,East_SH,Shanghai,Shanghai,BH,,,,,,,,,,2017-06-23 00:00:00,East-2,Closed,2022-01-20 13:02:18.127,2022-03-10 13:36:17.063,210354,400,,2019-10-14 00:00:00,Shanghai K11,,EDC_STORE_OO_CN20220301103527-2648,,,,,,,,,,,,
2644,CHN_P004,UAFH_CHN_P004,UAFH_CHN_P004,3,22,Mainland,Dummy,,,FH,,,,,,,,,,2021-01-01 00:00:00,,Closed,2022-01-20 13:02:18.127,2022-03-10 13:36:17.063,210354,,,2021-01-01 00:00:00,UAFH_CHN_P004,,EDC_STORE_OO_CN20220301103527-2648,,,,,,,,,,,,
2645,Hangzhou Plaza,Hangzhou Plaza,Hangzhou Plaza,3,22,Mainland,East_Other,Zhejiang,Hangzhou,BH,,,,,,,,,,2017-09-18 00:00:00,East-5,Closed,2022-01-20 13:02:18.127,2022-03-10 13:36:17.063,210354,220,,2019-08-22 00:00:00,Hangzhou Plaza,,EDC_STORE_OO_CN20220301103527-2648,,,,,,,,,,,,
1060,UAB2B,UAB2B,UAB2B,2,23,Mainland,,,,EC-CN,EC-UAB2B,,,,,,,,,2018-01-01 00:00:00,,closed,2020-04-29 11:36:19.97,2022-03-03 16:03:49.81,209217,,,2021-01-01 00:00:00,,,UPLOAD_EC_STORE_INFO,,,,,,,,,,,,
2629,2022-FH-11,2022-FH-11,Nanning Shanshan Outlets,3,22,Mainland,South,Guangxi,Nanning,FH,,,,,,,,,,2022-09-15 00:00:00,,Open,2022-01-20 13:02:18.127,2022-01-21 13:37:21.937,201325,300,,,2022-FH-11,,EDC_STORE_OO_CN20220120110316-2538,,,,,,,,,,,,
