store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel,door_type,end_partner,customer_group
3827,TWN_3077,DSFH_TWN_3077,Kaohsiung Skm Park FH,2,22,Taiwan,,Taiwan,Kaohsiung,FH,3077,317.6000,,,,,,,,2024-12-18 00:00:00,Judith chen,Open,2025-01-21 01:11:13.176759,2025-01-20 17:13:07.352513,-1,317.6000,,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250120.csv,,,,,,,,,,,,
137,TWN_0434,DSBH_TWN_0434,Taipei Shilin Dayeh Takashimaya DS,2,135,Taiwan,,,,BH,,,,,,,,,,2010-01-01 00:00:00,,open,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,,,,SPS,0013163268,,,,,,,,,,,
383,TWN_1015,DSFH_TWN_1015,Yunlin Douliou FH,2,135,Taiwan,,,,FH,,,,,,,,,,2017-12-08 00:00:00,,Closed,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,2020-11-22 00:00:00,,,SPS,0013163268,,,,,,,,,,,
26,TWN_0175,DSBH_TWN_0175,New Taipei Panchiao Far Eastern Chungshan DS,2,135,Taiwan,,,,BH,,,,,,,,,,2010-01-01 00:00:00,,open,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,,,,SPS,0013163268,,,,,,,,,,,
393,TWN_1067,DSFH_TWN_1067,Taichung Dali FH,2,135,Taiwan,,,,FH,,,,,,,,,,2017-12-14 00:00:00,,Closed,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,2020-11-14 00:00:00,,,SPS,0013163268,,,,,,,,,,,
222,TWN_0653,DSFH_TWN_0653,Hsinchu East Zhongzheng FH,2,135,Taiwan,,,,FH,,,,,,,,,,2010-01-01 00:00:00,,open,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,,,,SPS,0013163268,,,,,,,,,,,
253,TWN_0734,DSBH_TWN_0734,Taoyuan Taoyuan Taohuayuan SF,2,135,Taiwan,,,,BH,,,,,,,,,,2010-01-01 00:00:00,,open,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,,,,SPS,0013163268,,,,,,,,,,,
241,TWN_0682,DSBH_TWN_0682,Taipei Zhongzheng Gongguan SF,2,135,Taiwan,,,,BH,,,,,,,,,,2010-01-01 00:00:00,,open,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,,,,SPS,0013163268,,,,,,,,,,,
300,TWN_0886,DSBH_TWN_0886,Taipei Xinyi Chungxiao SF,2,135,Taiwan,,,,BH,,,,,,,,,,2017-09-02 00:00:00,,Closed,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,2020-02-23 00:00:00,,,SPS,0013163268,,,,,,,,,,,
316,TWN_0965,DSFH_TWN_0965,Changhwa Yuanlin FH,2,135,Taiwan,,,,FH,,,,,,,,,,2017-09-15 00:00:00,,Closed,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,2020-10-25 00:00:00,,,SPS,0013163268,,,,,,,,,,,
287,TWN_0849,DSBH_TWN_0849,New Taipei Xinzhuang Zhongzheng FH,2,135,Taiwan,,,,BH,,,,,,,,,,2017-06-28 00:00:00,,Closed,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,2020-07-12 00:00:00,,,SPS,0013163268,,,,,,,,,,,
392,TWN_1066,DSFH_TWN_1066,Taichung Fengyuan FH,2,135,Taiwan,,,,FH,,,,,,,,,,2017-12-22 00:00:00,,Closed,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,2020-10-25 00:00:00,,,SPS,0013163268,,,,,,,,,,,
129,TWN_0409,DSBH_TWN_0409,Kaohsiung Chiancheng Taroko FH,2,135,Taiwan,,,,BH,,,,,,,,,,2016-05-07 00:00:00,,Closed,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,2021-03-14 00:00:00,,,SPS,0013163268,,,,,,,,,,,
279,TWN_0834,DSBH_TWN_0834,Taoyuan Zhongli  Jianguo SF,2,135,Taiwan,,,,BH,,,,,,,,,,2010-01-01 00:00:00,,open,2022-06-12 22:31:20.003,2022-06-20 16:38:07.58,-1,,,,,,SPS,0013163268,,,,,,,,,,,
