store_code,store_name,customer_name,channel,store_type,country,region,province,short_name,city,area,cluster,date_code,division,gender,material,product_name,enduse,silhouette,sub_silhouette,fit_type,key_items,key_stories,product_line,stock,intransit,stock_amt,intransit_amt
UAFH_CHN_1729E,Beijing Surprise Outlets FH,Retail,O&O,FH,Mainland,North,Beijing,BJSPRS,Beijing,354.0000,OL,2025-02-24,Apparel,Mens,1321439-015,FOREFRONT RAIN JKT-GRY,Outdoor,Outerwear,Jackets,Fitted,,,MFO,33,0,21417.0000,0.0000
DSBH_CHN_TMP1,Sparkling Office Store,SH Sparkling,FP,BH,Mainland,East,Jiangsu,TMP1,Suzhou,0.0000,,2025-02-24,Apparel,Womens,1305517-001,"女 CG Thrdbrn Terry長褲 黑,LG",Training,褲類,長褲,Loose,,,Inline,1,0,599.0000,0.0000
OLFP_JSTM_INV,天马库存,JSTM,FP,EC,Mainland,other,Jiangsu,INV,Lianyungang,0.0000,,2025-02-24,Apparel,Mens,1300663-411,UA Porter 3-in-1-BLU,Outdoor,Outerwear,Jackets,Loose,Others,,MFO,1773,0,3012327.0000,0.0000
DSBH_CHN_2454,Lvliang Lishi Hongtai Plaza SM BHCC,SHANXI MAXSPORT,FP,BH,Mainland,North,Shanxi,2454,Lvliang,137.0000,C,2025-02-24,Apparel,Mens,1289577-001,HG ARMOUR 2.0 LEGGING,Training,Bottoms,Leggings,Compression,Others,Others,MFO,-4,0,-1396.0000,0.0000
UAFH_CHN_1527,Huzhou BCL Outlets FH,Retail,O&O,FH,Mainland,East_Other,Zhejiang,HZBCL,Huzhou,455.6400,,2025-02-24,Apparel,Mens,1321439-015,FOREFRONT RAIN JKT-GRY,Outdoor,Outerwear,Jackets,Fitted,,,MFO,8,0,5192.0000,0.0000
DSBH_CHN_TMP1,Sparkling Office Store,SH Sparkling,FP,BH,Mainland,East,Jiangsu,TMP1,Suzhou,0.0000,,2025-02-24,Apparel,Womens,1293253-001,ARMOUR ECLIPSE HIGH V.2,Training,Tops,Sport Bras,Fitted,Others,,Inline,5,0,2745.0000,0.0000
DSBH_CHN_0676,Datong Parkson DS,SHANXI MAXSPORT,FP,BH,Mainland,North,Shanxi,0676,Datong,195.0000,B,2025-02-24,Accessories,Mens,1318940-860,UA 495 BB,Basketball,Misc,Novelty,Regular,Others,,Licensed,1,0,279.0000,0.0000
DSBH_CHN_1178,"Yuncheng Yanhu Dist. Dongxing ",SHANXI MAXSPORT,FP,BH,Mainland,North,Shanxi,1178,Yuncheng,200.0000,B,2025-02-24,Apparel,Womens,1326512-470,UA Qualifier Half Zip,Running,Tops,Long-Sleeves,Fitted,Qualifier,,Inline,-4,0,-2396.0000,0.0000
UAFH_CHN_1971,Zhengzhou Wangfujing Outlets FH,Retail,O&O,FH,Mainland,West,Henan,ZZWFJ,Zhengzhou,324.0000,,2025-02-24,Apparel,Mens,1321439-015,FOREFRONT RAIN JKT-GRY,Outdoor,Outerwear,Jackets,Fitted,,,MFO,1,0,649.0000,0.0000
UAFH_CHN_1843,"Guangzhou Olympic Teemall DS FH ",Retail,O&O,FH,Mainland,South,Guangdong,GZAT,Guangzhou,245.0000,,2025-02-24,Apparel,Mens,1321439-015,FOREFRONT RAIN JKT-GRY,Outdoor,Outerwear,Jackets,Fitted,,,MFO,17,0,11033.0000,0.0000
DSFH_CHN_1523,Jinzhong Tianmei Shanshan Outl,SHANXI MAXSPORT,FP,FH,Mainland,North,Shanxi,1523,Taiyuan,151.0000,OL,2025-02-24,Accessories,Unisex,1300216-001,UA UNDENIABLE DUFFLE 3.0 LG,Training,Bags,Duffels,One Size Fits All,Others,,Inline,-2,0,-998.0000,0.0000
DSBH_CHN_1178,"Yuncheng Yanhu Dist. Dongxing ",SHANXI MAXSPORT,FP,BH,Mainland,North,Shanxi,1178,Yuncheng,200.0000,B,2025-02-24,Accessories,Mens,1318940-860,UA 495 BB,Basketball,Misc,Novelty,Regular,Others,,Licensed,1,0,279.0000,0.0000
DSBH_CHN_0581,Kunming Parkson,KMYDRC,FP,BH,Mainland,South,Yunnan,0581,Kunming,90.0000,C,2025-02-24,Accessories,Mens,1276991-400,PERFORMANCE WRISTBANDS-BLU,Training,Bands,Wristbands,One Size Fits All,Others,Others,Inline,7,0,413.0000,0.0000
DSBH_CHN_TMP1,Sparkling Office Store,SH Sparkling,FP,BH,Mainland,East,Jiangsu,TMP1,Suzhou,0.0000,,2025-02-24,Apparel,Mens,1277237-001,THE ORIGINAL 3'' BOXERJOCK,Lifestyle,Underwear,Underwear Bottoms,Fitted,Others,,Inline,1,0,199.0000,0.0000
DSFH_CHN_1523,Jinzhong Tianmei Shanshan Outl,SHANXI MAXSPORT,FP,FH,Mainland,North,Shanxi,1523,Taiyuan,151.0000,OL,2025-02-24,Apparel,Mens,1289577-001,HG ARMOUR 2.0 LEGGING,Training,Bottoms,Leggings,Compression,Others,Others,MFO,-196,0,-68404.0000,0.0000
DSBH_CHN_1808,Karemay Hejiale SM,URUMQI ZH,FP,BH,Mainland,West,Xinjiang,1808,Karemay,172.0000,B,2025-02-24,Accessories,Mens,1276991-400,PERFORMANCE WRISTBANDS-BLU,Training,Bands,Wristbands,One Size Fits All,Others,Others,Inline,1,0,59.0000,0.0000
