date_code,week_id,weekday_id,month_id,year_id,customer_name,customer_sort,store_master_code,store_code,store_name,short_name,country,region,province,city,store_type,district_manager,sub_channel,comp_flag,currency,lyd_trans,lyd_qty,lyd_amt,lyd_amt_notax,lyd_amt_usd_notax,lyd_orig_price,lyd_amt_usd,lyd_orig_price_usd_notax,lyd_disc_amt,lyd_disc_amt_notax,lyd_disc_amt_usd_notax,lyd_qty_return,lyd_amt_return,lyd_amt_return_notax,lyd_amt_return_usd_notax,lyd_trans_return,lyw_trans,lyw_qty,lyw_amt_notax,lyw_amt_usd,lyw_amt_usd_notax,ld_trans,ld_qty,ld_amt,ld_amt_notax,ld_amt_usd,lw_trans,lw_qty,lw_amt,lw_amt_notax,lw_amt_usd,lm_trans,lm_qty,lm_amt,lm_amt_notax,lm_amt_usd,trans,traffic,lyd_traffic,lyw_traffic,qty,amt,amt_notax,orig_price,amt_usd_notax,orig_price_usd_notax,disc_amt,disc_amt_notax,disc_amt_usd_notax,qty_return,amt_return,amt_return_notax,amt_return_usd_notax,trans_return,ld_traffic,lw_traffic,lm_traffic,avg_monthly_sales,channel,day_comp,week_comp,area,cluster,finance_comp,open_date,msrp,amt_target_f1,amt_notax_target_f1,qty_target_f1,trans_target_f1,traffic_target_f1,amt_usd_target_f1,amt_notax_usd_target_f1,cr_target_f1,asp_target_f1,upt_target_f1,atv_target_f1,amt_target_f0,amt_notax_target_f0,qty_target_f0,trans_target_f0,traffic_target_f0,amt_usd_target_f0,amt_notax_usd_target_f0,cr_target_f0,asp_target_f0,upt_target_f0,atv_target_f0,amt_target_f2,amt_notax_target_f2,qty_target_f2,trans_target_f2,traffic_target_f2,amt_usd_target_f2,amt_notax_usd_target_f2,cr_target_f2,asp_target_f2,upt_target_f2,atv_target_f2,amt_target_f3,amt_notax_target_f3,qty_target_f3,trans_target_f3,traffic_target_f3,amt_usd_target_f3,amt_notax_usd_target_f3,cr_target_f3,asp_target_f3,upt_target_f3,atv_target_f3,amt_target_f4,amt_notax_target_f4,qty_target_f4,trans_target_f4,traffic_target_f4,amt_usd_target_f4,amt_notax_usd_target_f4,cr_target_f4,asp_target_f4,upt_target_f4,atv_target_f4,amt_target,amt_notax_target,qty_target,trans_target,traffic_target,amt_usd_target,amt_notax_usd_target,cr_target,asp_target,upt_target,atv_target
2025-02-25,202547,3,202502,2025,HBSB,,Tiktok_0188,OLFP_Tiktok_0188,安德玛UA人从众专卖店,0188,Mainland,other,Hebei,Shijazhuang,EC,Owen Chen,EC,Y,CNY,25,26,7260.4100,6425.1414800000,945.490161,19724.0000,1068.4039000000,2568.566825,12463.590000,11029.725560,1623.076647,0,0.000000,0.000000,0.000000,0,105,319,75125.5304600000,12492.2399270000,11055.079506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP,Y,Y,0.0000,,Y,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-25,202547,3,202502,2025,HARBIN SEGO,,CHN_0382,DSBH_CHN_0382,Dalian Xigang Olympia 66 Hangl,0382,Mainland,North,Liaoning,Dalian,BH,Qing Yan,BH,Y,CNY,10,19,15015.0000,13287.6105300000,1955.335156,15731.0000,2209.5287410000,2048.576593,716.000000,633.628280,93.241424,0,0.000000,0.000000,0.000000,0,3,9,5169.0265200000,859.5309610000,760.646863,8,11,6639.0000,5875.2212000000,925.8871110000,2,2,1238.0000,1095.5752100000,172.6537490000,18,25,15797.0000,13979.6459000000,2203.0785800000,7,20,,,12,7660.0000,6778.7610200000,7748.0000,945.378439,956.239189,88.000000,77.876100,10.860744,0,0.000000,0.000000,0.000000,0,33,20,64,198914.000000,FP,Y,Y,250.0000,B,Y,2015-11-17,7748.000,5307.332836,4696.754723,0.000000,0.000000,0.000000,740.170367179879820606864,655.018024175174367754252,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,5307.332836,4696.754723,0.000000,0.000000,0.000000,740.170367179879820606864,655.018024175174367754252,0.0000,0.0000,0.0000,0.0000
2025-02-25,202547,3,202502,2025,URUMQI ZH,,CHN_2963,DSBH_CHN_2963,Hami Yizhou Wuika Times SM BHCC EVO,2963,Mainland,West,Xinjiang,Hami,BH,Qing Yan,BH,N,CNY,,,,,,,,,,,,,,,,,,,,,,2,4,2496.0000,2208.8495500000,348.0967350000,2,2,1406.0000,1244.2477800000,196.0833370000,7,15,11469.0000,10149.5574600000,1599.4877650000,2,61,,,3,1797.0000,1590.2654700000,1797.0000,221.781337,221.781340,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,50,69,184,117548.500000,FP,N,N,129.0000,C,N,2024-08-16,1797.000,1955.333150,1730.383319,0.000000,0.000000,0.000000,272.694345788433425140600,241.322429959274767067356,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,1955.333150,1730.383319,0.000000,0.000000,0.000000,272.694345788433425140600,241.322429959274767067356,0.0000,0.0000,0.0000,0.0000
2025-02-25,202547,3,202502,2025,CS YONGLING,,CHN_1058,DSBH_CHN_1058,Changsha Taskin City Square SM,1058,Mainland,South,Hunan,Changsha,BH,Qing Yan,BH,Y,CNY,7,16,9587.0000,8484.0707100000,1248.471400,10584.0000,1410.7726970000,1378.306189,997.000000,882.300830,129.834775,0,0.000000,0.000000,0.000000,0,2,7,4055.7521800000,674.4102710000,596.823244,2,6,3132.0000,2771.6814000000,436.7944610000,1,1,149.0000,131.8584000000,20.7798130000,4,15,11605.0000,10269.9114200000,1618.4545750000,3,,79,65,4,4046.0000,3580.5309500000,4046.0000,499.347410,499.347413,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,,11,142,183364.000000,FP,Y,Y,206.0000,B,Y,2017-10-25,4046.000,5586.666144,4943.952340,0.000000,0.000000,0.000000,779.126702412051881302656,689.492657026499334478160,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,5586.666144,4943.952340,0.000000,0.000000,0.000000,779.126702412051881302656,689.492657026499334478160,0.0000,0.0000,0.0000,0.0000
2025-02-25,202547,3,202502,2025,SH Sparkling,,CHN_1469,DSBH_CHN_1469,Yancheng Julong hu Golden Eagl,1469,Mainland,East,Jiangsu,Yancheng,BH,Qing Yan,BH,Y,CNY,1,2,1898.0000,1679.6460100000,247.167907,1898.0000,279.2997370000,247.167908,-100.000000,-88.495570,0.000000,0,0.000000,0.000000,0.000000,0,3,10,6570.7964100000,1092.6241030000,966.923977,5,7,3243.0000,2869.9114800000,452.2747250000,2,5,7925.0000,7013.2743100000,1105.2350280000,31,52,54486.0000,48217.6988700000,7598.7174480000,3,59,132,60,4,2246.0000,1987.6106100000,2246.0000,277.195819,277.195820,0.000000,0.000000,0.000000,1,999.000000,884.070796,123.294134,1,68,43,610,819311.000000,FP,Y,Y,310.0000,A,Y,2019-07-13,2246.000,12569.998826,11123.892767,0.000000,0.000000,0.000000,1753.035080706040399507624,1551.358478588547169152508,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,12569.998826,11123.892767,0.000000,0.000000,0.000000,1753.035080706040399507624,1551.358478588547169152508,0.0000,0.0000,0.0000,0.0000
2025-02-25,202547,3,202502,2025,YY-QD,,CHN_3027,DSBH_CHN_3027,Jining Rencheng Mixc One SM BHCC EVO,3027,Mainland,YY,Shandong,Jining,BH,Owen Chen,BH,N,CNY,,,,,,,,,,,,,,,,,,,,,,1,0,0.0000,0E-10,0E-10,1,1,498.0000,440.7079600000,69.4519920000,8,9,6425.0000,5685.8406800000,896.0422780000,1,13,,,1,1234.0000,1092.0353900000,1299.0000,152.297257,160.319399,65.000000,57.522120,8.022140,0,0.000000,0.000000,0.000000,0,18,32,206,54529.010000,FP,N,N,150.0000,B,N,2024-11-01,1299.000,3589.991664,3176.983774,0.000000,0.000000,0.000000,500.666818951240868531136,443.067981449298411654776,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,3589.991664,3176.983774,0.000000,0.000000,0.000000,500.666818951240868531136,443.067981449298411654776,0.0000,0.0000,0.0000,0.0000
2025-02-25,202547,3,202502,2025,Ulee,,CHN_1085,DSBH_CHN_1085,Tangshan Lubei DS Youth,1085,Mainland,North,Hebei,Tangshan,BH,Owen Chen,BH,Y,CNY,,,,,,,,,,,,,,,,,1,-11,-2779.7875600000,-462.2366500000,-409.058974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835.800000,FP,Y,Y,81.0000,Youth-VIP,Y,2017-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-25,202547,3,202502,2025,YY-QD,,CHN_2101,DSBH_CHN_2101,Yantai Laishan Mix City SM BHCC,2101,Mainland,YY,Shandong,Yantai,BH,Owen Chen,BH,Y,CNY,3,0,-413.0000,-365.4867300000,-53.783112,-420.0000,-60.7749160000,-54.694690,-7.000000,-6.194690,-0.911578,2,1038.000000,918.584070,135.174020,2,3,3,852.2123800000,141.7100350000,125.407109,2,4,1338.0000,1184.0707800000,186.5999320000,1,1,239.0000,211.5044200000,33.3313780000,7,11,6339.0000,5609.7344800000,884.0485610000,1,37,126,79,0,-1.0000,-0.8849600000,0.0000,-0.123418,0.000000,1.000000,0.884960,0.123417,1,475.000000,420.353982,58.623337,1,36,47,247,137973.950000,FP,Y,Y,176.0000,B,Y,2021-09-30,0.000,2211.582901,1957.153010,0.000000,0.000000,0.000000,308.431405842569961347924,272.948146800361514455240,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,2211.582901,1957.153010,0.000000,0.000000,0.000000,308.431405842569961347924,272.948146800361514455240,0.0000,0.0000,0.0000,0.0000
2025-02-25,202547,3,202502,2025,YY-SJZ,,CHN_2463,DSBH_CHN_2463,Langfang Guangyang Mingzhu DS BHCC,2463,Mainland,YY,Hebei,Langfang,BH,Owen Chen,BH,Y,CNY,14,27,15215.3000,13464.8671400000,1981.419310,18554.0000,2239.0038400000,2416.203046,4027.700000,3564.336150,434.783718,0,0.000000,0.000000,0.000000,0,8,8,3567.1680800000,593.1661270000,524.925767,6,4,3068.7200,2715.6813900000,427.9693170000,3,2,852.5800,754.4955700000,118.9023690000,16,17,14547.4000,12873.8052100000,2028.8070730000,3,36,120,47,2,1468.8500,1299.8672500000,1298.0000,181.281869,160.195981,-170.850000,-151.194710,-21.085888,2,1009.550000,893.407079,124.596189,1,37,30,245,213242.215000,FP,Y,Y,120.0000,C,Y,2022-09-05,1298.000,5586.666144,4943.952340,0.000000,0.000000,0.000000,779.126702412051881302656,689.492657026499334478160,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,5586.666144,4943.952340,0.000000,0.000000,0.000000,779.126702412051881302656,689.492657026499334478160,0.0000,0.0000,0.0000,0.0000
2025-02-25,202547,3,202502,2025,YY-SJZ,,CHN_2650,DSBH_CHN_2650,Tangshan Luannan Street Store BHCC,2650,Mainland,YY,Hebei,Tangshan,BH,Owen Chen,BH,Y,CNY,4,2,5141.0000,4549.5575200000,669.489051,5948.0000,756.5226280000,774.580991,807.000000,714.159280,105.091940,1,349.000000,308.849557,45.448683,1,9,5,3255.7521800000,541.3823670000,479.099435,1,1,520.0000,460.1769900000,72.5201530000,7,5,3075.0000,2721.2389000000,428.8451370000,22,20,24640.0000,21805.3096600000,3436.3395720000,7,35,25,18,7,7393.0000,6542.4778500000,7393.0000,912.425955,912.425958,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,22,14,162,202329.000000,FP,Y,Y,126.0000,C,Y,2023-04-22,7393.000,2793.333072,2471.976170,0.000000,0.000000,0.000000,389.563351206025940651328,344.746328513249667239080,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,2793.333072,2471.976170,0.000000,0.000000,0.000000,389.563351206025940651328,344.746328513249667239080,0.0000,0.0000,0.0000,0.0000
