date_code,week_id,weekday_id,month_id,year_id,customer_name,customer_sort,store_master_code,store_code,store_name,short_name,country,region,province,city,store_type,district_manager,sub_channel,comp_flag,currency,lyd_trans,lyd_qty,lyd_amt,lyd_amt_notax,lyd_amt_usd_notax,lyd_orig_price,lyd_amt_usd,lyd_orig_price_usd_notax,lyd_disc_amt,lyd_disc_amt_notax,lyd_disc_amt_usd_notax,lyd_qty_return,lyd_amt_return,lyd_amt_return_notax,lyd_amt_return_usd_notax,lyd_trans_return,lyw_trans,lyw_qty,lyw_amt_notax,lyw_amt_usd,lyw_amt_usd_notax,ld_trans,ld_qty,ld_amt,ld_amt_notax,ld_amt_usd,lw_trans,lw_qty,lw_amt,lw_amt_notax,lw_amt_usd,lm_trans,lm_qty,lm_amt,lm_amt_notax,lm_amt_usd,trans,traffic,lyd_traffic,lyw_traffic,qty,amt,amt_notax,orig_price,amt_usd_notax,orig_price_usd_notax,disc_amt,disc_amt_notax,disc_amt_usd_notax,qty_return,amt_return,amt_return_notax,amt_return_usd_notax,trans_return,ld_traffic,lw_traffic,lm_traffic,avg_monthly_sales,channel,day_comp,week_comp,area,cluster,finance_comp,open_date,msrp,amt_target_f1,amt_notax_target_f1,qty_target_f1,trans_target_f1,traffic_target_f1,amt_usd_target_f1,amt_notax_usd_target_f1,cr_target_f1,asp_target_f1,upt_target_f1,atv_target_f1,amt_target_f0,amt_notax_target_f0,qty_target_f0,trans_target_f0,traffic_target_f0,amt_usd_target_f0,amt_notax_usd_target_f0,cr_target_f0,asp_target_f0,upt_target_f0,atv_target_f0,amt_target_f2,amt_notax_target_f2,qty_target_f2,trans_target_f2,traffic_target_f2,amt_usd_target_f2,amt_notax_usd_target_f2,cr_target_f2,asp_target_f2,upt_target_f2,atv_target_f2,amt_target_f3,amt_notax_target_f3,qty_target_f3,trans_target_f3,traffic_target_f3,amt_usd_target_f3,amt_notax_usd_target_f3,cr_target_f3,asp_target_f3,upt_target_f3,atv_target_f3,amt_target_f4,amt_notax_target_f4,qty_target_f4,trans_target_f4,traffic_target_f4,amt_usd_target_f4,amt_notax_usd_target_f4,cr_target_f4,asp_target_f4,upt_target_f4,atv_target_f4,amt_target,amt_notax_target,qty_target,trans_target,traffic_target,amt_usd_target,amt_notax_usd_target,cr_target,asp_target,upt_target,atv_target
2025-03-02,202548,1,202503,2025,Retail,,TWN_0399,DSFH_TWN_0399,New Taipei Linkou Mitsui FH,0399,Taiwan,APAC,Taiwan,Taipei,FH,Judith chen,FH,Y,TWD,76,306,324272.0000,308778.9631500000,10335.068522,804180.0000,10853.6323380000,26916.520865,479908.000000,456965.597330,16062.888527,3,2338.000000,2338.000000,78.254651,1,103,363,361068.4456100000,12691.4451760000,12085.237571,112,401,424227.0000,403985.4516500000,13475.7589950000,90,225,286654.0000,272992.5964700000,9105.6915730000,108,206,393228.0000,374514.1114000000,12491.0619980000,85,,,,305,308833.0000,294082.3055800000,740700.0000,9341.654998,23528.664342,431867.000000,411220.729960,13718.446987,0,0.000000,0.000000,0.000000,0,,,,4430671.666600,FP,Y,Y,218.9000,C,Y,2016-01-27,740500.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-03-02,202548,1,202503,2025,Retail,,TWN_0205,DSFH_TWN_0205,Kaohsiung Dashu E-DA FH,0205,Taiwan,APAC,Taiwan,Kaohsiung,FH,Judith chen,FH,Y,TWD,38,194,179921.0000,171333.4534400000,5734.661984,456320.0000,6022.0937480000,15273.380090,276399.000000,263183.725020,9251.286342,22,12526.000000,12526.000000,419.254820,1,32,123,118016.8890100000,4148.0320710000,3950.115714,62,233,246173.0000,234428.0308000000,7819.7946360000,37,102,123842.0000,117935.8940100000,3933.8961110000,72,132,252624.0000,240602.8238700000,8024.7135150000,52,,,,130,164636.0000,156787.5830500000,353200.0000,4980.427183,11219.554807,188564.000000,179575.519460,5989.819175,2,1509.000000,1509.000000,47.934055,2,,,,2760924.333300,FP,Y,Y,127.9000,C,Y,2014-10-27,353700.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-03-02,202548,1,202503,2025,Retail,,TWN_0178,DSBH_TWN_0178R,Taipei Songshan Bade SF,0178,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,6,7,19040.0000,18133.5160400000,606.942678,22860.0000,637.2833900000,765.141718,3820.000000,3638.437700,127.858327,0,0.000000,0.000000,0.000000,0,15,37,55470.7953800000,1949.5382550000,1856.650030,18,30,43650.0000,41570.2559700000,1386.5616280000,10,20,37101.0000,35333.0231800000,1178.5297360000,10,15,39331.0000,37460.9435900000,1249.3666760000,13,,,,26,41681.0000,39699.3581200000,54980.0000,1261.067735,1746.464109,13299.000000,12666.583720,422.448639,2,5644.000000,5644.000000,179.284166,2,,,,2275438.000000,FP,Y,Y,268.4700,C,Y,2014-07-19,55280.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-03-02,202548,1,202503,2025,Retail,,TWN_0629,DSBH_TWN_0629R,Taipei Chungshan Miramar DS,0629,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,5,9,17661.0000,16818.8348800000,562.939292,24420.0000,591.1272040000,817.356113,6759.000000,6436.704510,226.228909,0,0.000000,0.000000,0.000000,0,24,47,74249.1025000000,2609.5482960000,2485.174359,14,24,63315.0000,60298.9561400000,2011.2290840000,13,16,44460.0000,42342.5223600000,1412.2916380000,13,26,63342.0000,60326.9459800000,2012.0867510000,10,,,,16,38554.0000,36717.1955800000,44980.0000,1166.338018,1428.809669,6426.000000,6119.804270,204.124742,0,0.000000,0.000000,0.000000,0,,,,758860.666600,FP,Y,Y,118.6000,C,Y,2016-09-23,44980.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-03-02,202548,1,202503,2025,Retail,,TWN_3077,DSFH_TWN_3077,Kaohsiung Skm Park FH,3077,Taiwan,,Taiwan,Kaohsiung,FH,Judith chen,FH,N,TWD,,,,,,,,,,,,,,,,,,,,,,39,153,190630.0000,181539.8774500000,6055.4465820000,27,65,88308.0000,84096.5591800000,2805.1428250000,62,162,284172.0000,270638.5450900000,9026.8497410000,44,,,,129,132701.0000,126365.1532200000,311820.0000,4014.045193,9905.100736,179119.000000,170553.461360,5689.794556,4,4581.000000,4581.000000,145.517499,3,,,,2051484.000000,FP,N,N,317.6000,,N,2024-12-18,312820.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-03-02,202548,1,202503,2025,Retail,,TWN_0151,DSBH_TWN_0151E,"Taipei Daan Chungxiao SOGO DS  ",0151,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,19,28,54870.0000,52256.8336100000,1749.076266,70440.0000,1836.5409480000,2357.680780,15570.000000,14828.429280,521.139831,0,0.000000,0.000000,0.000000,0,15,30,49915.2392200000,1754.2698040000,1670.701308,20,41,81468.0000,77589.7797500000,2587.8671880000,7,14,39215.0000,37346.7181500000,1245.6818840000,27,34,85247.0000,81186.8984500000,2707.9088010000,12,,,,31,53477.0000,50930.6998100000,67680.0000,1617.836290,2149.885247,14203.000000,13526.624430,451.164600,0,0.000000,0.000000,0.000000,0,,,,1178956.333300,FP,Y,Y,57.9000,C,Y,2015-10-15,67880.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-03-02,202548,1,202503,2025,Retail,,TWN_1756,DSBH_TWN_1756,Xin Yi Uni Present DS,1756,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,13,19,34828.0000,33169.0828900000,1110.194622,48720.0000,1165.7198490000,1630.695735,13892.000000,13230.583570,464.975885,0,0.000000,0.000000,0.000000,0,21,41,88618.4049400000,3114.5217480000,2966.125924,7,12,23997.0000,22854.4161700000,762.2753580000,14,16,35739.0000,34037.9115500000,1135.2652010000,21,35,82374.0000,78452.1723600000,2616.6466800000,8,,,,13,22686.0000,21608.0208400000,29340.0000,686.388375,931.998125,6654.000000,6337.684680,211.367264,1,5701.000000,5701.000000,181.094796,1,,,,691463.333300,FP,Y,Y,134.0000,C,Y,2020-03-12,29740.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-03-02,202548,1,202503,2025,Retail,,TWN_1770,DSBH_TWN_1770,Taoyuan Far Eastern DS,1770,Taiwan,APAC,Taiwan,Taoyuan,BH,Judith chen,BH,Y,TWD,12,22,34910.0000,33245.1448100000,1112.740473,44060.0000,1168.4644520000,1474.721964,9150.000000,8712.747840,306.257511,1,686.000000,686.000000,22.960946,1,15,26,44705.1765100000,1571.1847120000,1496.316516,4,9,15381.0000,14647.9444200000,488.5842930000,5,5,17204.0000,16385.3102300000,546.4926970000,15,30,72307.0000,68867.2077600000,2296.8639560000,7,,,,12,24551.0000,23381.2031100000,31160.0000,742.714297,989.811233,6609.000000,6293.986620,209.937819,0,0.000000,0.000000,0.000000,0,,,,651842.000000,FP,Y,Y,94.5000,C,Y,2020-04-16,31160.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-03-02,202548,1,202503,2025,Retail,,TWN_0633,DSFH_TWN_0633,Taichung Houli Lihbao FH,0633,Taiwan,APAC,Taiwan,Taichung,FH,Judith chen,FH,Y,TWD,69,241,253794.0000,241690.6761700000,8089.572145,540580.0000,8494.6796690000,18093.626861,286786.000000,273093.047690,9598.947192,5,4235.000000,4235.000000,141.748695,2,72,213,247306.4496000000,8691.9898370000,8277.536386,85,246,287368.0000,273658.8175800000,9128.3721000000,65,144,202628.0000,192965.3052100000,6436.5683790000,85,150,328843.0000,313180.3671300000,10445.8438880000,58,,,,234,267263.0000,254514.5069800000,647720.0000,8084.766308,20575.113362,380457.000000,362332.311330,12085.385513,1,2016.000000,2016.000000,64.039135,1,,,,5302659.666600,FP,Y,Y,303.6000,C,Y,2016-12-29,648120.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-03-02,202548,1,202503,2025,Retail,,TWN_1065,DSBH_TWN_1065,Taichung Yichung Taiping SF,1065,Taiwan,APAC,Taiwan,Taichung,BH,Judith chen,BH,Y,TWD,11,22,44874.0000,42735.9340300000,1430.404461,60560.0000,1501.9671680000,2026.989608,15686.000000,14938.833300,525.022440,0,0.000000,0.000000,0.000000,0,12,34,44330.8470200000,1558.0641720000,1483.787421,21,40,89678.0000,85408.5419500000,2848.6614830000,6,10,26403.0000,25146.0990100000,838.7030160000,16,27,53568.0000,51017.5031600000,1701.6113020000,9,,,,21,50042.0000,47659.4271000000,61080.0000,1513.922860,1940.233317,11038.000000,10512.349030,350.626970,0,0.000000,0.000000,0.000000,0,,,,2579312.000000,FP,Y,Y,381.3000,C,Y,2017-12-22,61580.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
