date_code,year_id,month_id,week_id,store_code,store_name,customer_name,channel,store_type,country,region,province,short_name,city,area,cluster,sub_channel,material,product_name,key_items,sku,style,division,gender,enduse,silhouette,sub_silhouette,fit_type,qty,lw_qty,lm_qty,amt,lw_amt,lm_amt,season_code,msrp,key_stories,product_line
2025-02-11,2025,202502,202545,UAFH_CHN_1081,Harbin Songbei Maple Outlets,Retail,O&O,FH,Mainland,North,Heilongjiang,HBSB,Harbin,565.0000,,FH,1387434-001,UA Movement 1/4 Zip-BLK,Others,1387434-001-LG,1387434,Apparel,Mens,Training,Tops,Long-Sleeves,Loose,1,,,458.99983,,,SS25,599.000,,MFO
2025-02-11,2025,202502,202545,UAFH_CHN_0648RR,Chengdu Times Outlet,Retail,O&O,FH,Mainland,West,Sichuan,CDOL,Chengdu,494.0000,,FH,3026285-101,UA Spawn 5,OTHERS,3026285-101-8.5/10,3026285,Footwear,Unisex,Basketball,Sneakers,Low,Regular,1,,1,279.00000,,279.00000,SS23,899.000,Others,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_1013,Harbin Daoli Charter II SM,HARBIN SEGO,FP,BH,Mainland,North,Heilongjiang,1013,Harbin,820.0000,VIP,BH,1388061-289,APAC W City Jacket-BRN,L4L Shell,1388061-289-LG,1388061,Apparel,Womens,Sportstyle,Outerwear,Jackets,Loose,1,,,1499.00000,,,FW24,2499.000,,Regional Development (incl. Dome)
2025-02-11,2025,202502,202545,DSBH_CHN_LCSG,Ulee licensing store,Ulee,FP,BH,Mainland,Youth,Zhejiang,LCSG,Hangzhou,0.0000,,BH,251103131-U0002,套头卫衣,,251103131-U0002-L,251103131,服装,男,卫衣,套头卫衣,,,2,2,3,258.00000,439.00000,531.93000,,399.000,,
2025-02-11,2025,202502,202545,DSBH_CHN_0268,Beijing Daxing IKEA Mall SM,HNTG,FP,BH,Mainland,North,Beijing,0268,Beijing,448.0000,A,BH,1382890-001,UA HW TONAL WORDMARK LS-BLK,Graphics,1382890-001-XXL,1382890,Apparel,Mens,Sportstyle,Tops,Long-Sleeve Graphics,Loose,1,,,399.00000,,,SS25,399.000,,Inline
2025-02-11,2025,202502,202545,586764,EC-TMALL Outlet,EC,EC,EC-CN,Mainland,,,EC-TMALL Outlet,,0.0000,,MarketPlace,1382704-957,Pjt Rck Lets Go BTB Top,Project Rock,1382704-957-LG,1382704,Apparel,Womens,Training,Tops,Short-Sleeve Graphics,Fitted,1,,,263.57000,,,SS24,599.000,,Inline
2025-02-11,2025,202502,202545,DSBH_CHN_LCSG,Ulee licensing store,Ulee,FP,BH,Mainland,Youth,Zhejiang,LCSG,Hangzhou,0.0000,,BH,244303166-U0067,连帽卫衣,,244303166-U0067-YL,244303166,服装,中性,卫衣,连帽卫衣,,,-1,,,-169.00000,,,,459.000,,
2025-02-11,2025,202502,202545,DSBH_CHN_0737,Shenyang Tiexi Mix City SM,HARBIN SEGO,FP,BH,Mainland,North,Liaoning,0737,Shenyang,369.0000,B,BH,1321438-015,Shield Jacket-GRY,Others,1321438-015-XXL,1321438,Apparel,Mens,Outdoor,Outerwear,Jackets,Fitted,1,,,899.00000,,,SS24,899.000,,MFO
2025-02-11,2025,202502,202545,DSBH_CHN_2595,Shenyang heping Taiyuan Street SF BHCC EVO,YY-SY,FP,BH,Mainland,YY,Liaoning,2595,Shenyang,506.0000,AA,BH,1379288-304,UA LAUNCH PRO 1/4 ZIP-GRN,Qualifier,1379288-304-LG,1379288,Apparel,Mens,Running,Tops,Warmup Tops,Fitted,-1,,0,-306.00000,,-24.00000,FW24,599.000,,Inline
2025-02-11,2025,202502,202545,511758,EC-Mini-program,EC,EC,EC-CN,Mainland,,,EC-Mini-program,,0.0000,,UA.com,3028612-001,UA Charged Decoy Lux-BLK,L4L FTW INLINE,3028612-001-9,3028612,Footwear,Mens,Sportstyle,Performance Sneakers,Visual Cushioning,Regular,1,1,3,289.00000,340.00000,867.00000,SS24,799.000,,Regional Development (incl. Dome)
