date_sid,date_code,date_name,week_id,weekday_id,weekday_name,month_id,month_name,quarter_id,quarter_name,year_id,year_name,sales_season,inbound_season,outbound_season,inbound_carry_over,outbound_carry_over,fin_year_id,fin_month_id,month_id_desc,fin_quarter_id,fin_week_id,fin_lwk_date_code,fin_lwk_date_name
46020,2025-12-31 00:00:00,20251231,202639,4,Wednesday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202639,2025-01-01 00:00:00,20250101
46019,2025-12-30 00:00:00,20251230,202639,3,Tuesday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202639,2024-12-31 00:00:00,20241231
46018,2025-12-29 00:00:00,20251229,202639,2,Monday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202639,2024-12-30 00:00:00,20241230
46017,2025-12-28 00:00:00,20251228,202639,1,Sunday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202639,2024-12-29 00:00:00,20241229
46016,2025-12-27 00:00:00,20251227,202638,7,Saturday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202638,2024-12-28 00:00:00,20241228
46015,2025-12-26 00:00:00,20251226,202638,6,Friday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202638,2024-12-27 00:00:00,20241227
46014,2025-12-25 00:00:00,20251225,202638,5,Thursday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202638,2024-12-26 00:00:00,20241226
46013,2025-12-24 00:00:00,20251224,202638,4,Wednesday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202638,2024-12-25 00:00:00,20241225
46012,2025-12-23 00:00:00,20251223,202638,3,Tuesday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202638,2024-12-24 00:00:00,20241224
46011,2025-12-22 00:00:00,20251222,202638,2,Monday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202638,2024-12-23 00:00:00,20241223
46010,2025-12-21 00:00:00,20251221,202638,1,Sunday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202638,2024-12-22 00:00:00,20241222
46009,2025-12-20 00:00:00,20251220,202637,7,Saturday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202637,2024-12-21 00:00:00,20241221
46008,2025-12-19 00:00:00,20251219,202637,6,Friday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202637,2024-12-20 00:00:00,20241220
46007,2025-12-18 00:00:00,20251218,202637,5,Thursday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202637,2024-12-19 00:00:00,20241219
46006,2025-12-17 00:00:00,20251217,202637,4,Wednesday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202637,2024-12-18 00:00:00,20241218
46005,2025-12-16 00:00:00,20251216,202637,3,Tuesday,202512,December,202504,4,2025,2025,FW25,,,SS26,SS26,2026,202609,2025Dec,202603,202637,2024-12-17 00:00:00,20241217
46004,2025-12-15 00:00:00,20251215,202637,2,Monday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202637,2024-12-16 00:00:00,20241216
46003,2025-12-14 00:00:00,20251214,202637,1,Sunday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202637,2024-12-15 00:00:00,20241215
46002,2025-12-13 00:00:00,20251213,202636,7,Saturday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202636,2024-12-14 00:00:00,20241214
46001,2025-12-12 00:00:00,20251212,202636,6,Friday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202636,2024-12-13 00:00:00,20241213
46000,2025-12-11 00:00:00,20251211,202636,5,Thursday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202636,2024-12-12 00:00:00,20241212
45999,2025-12-10 00:00:00,20251210,202636,4,Wednesday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202636,2024-12-11 00:00:00,20241211
45998,2025-12-09 00:00:00,20251209,202636,3,Tuesday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202636,2024-12-10 00:00:00,20241210
45997,2025-12-08 00:00:00,20251208,202636,2,Monday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202636,2024-12-09 00:00:00,20241209
45996,2025-12-07 00:00:00,20251207,202636,1,Sunday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202636,2024-12-08 00:00:00,20241208
45995,2025-12-06 00:00:00,20251206,202635,7,Saturday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202635,2024-12-07 00:00:00,20241207
45994,2025-12-05 00:00:00,20251205,202635,6,Friday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202635,2024-12-06 00:00:00,20241206
45993,2025-12-04 00:00:00,20251204,202635,5,Thursday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202635,2024-12-05 00:00:00,20241205
45992,2025-12-03 00:00:00,20251203,202635,4,Wednesday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202635,2024-12-04 00:00:00,20241204
45991,2025-12-02 00:00:00,20251202,202635,3,Tuesday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202635,2024-12-03 00:00:00,20241203
45990,2025-12-01 00:00:00,20251201,202635,2,Monday,202512,December,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202609,2025Dec,202603,202635,2024-12-02 00:00:00,20241202
45989,2025-11-30 00:00:00,20251130,202635,1,Sunday,202511,November,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202608,2025Nov,202603,202635,2024-12-01 00:00:00,20241201
45988,2025-11-29 00:00:00,20251129,202634,7,Saturday,202511,November,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202608,2025Nov,202603,202634,2024-11-30 00:00:00,20241130
45987,2025-11-28 00:00:00,20251128,202634,6,Friday,202511,November,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202608,2025Nov,202603,202634,2024-11-29 00:00:00,20241129
45986,2025-11-27 00:00:00,20251127,202634,5,Thursday,202511,November,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202608,2025Nov,202603,202634,2024-11-28 00:00:00,20241128
45985,2025-11-26 00:00:00,20251126,202634,4,Wednesday,202511,November,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202608,2025Nov,202603,202634,2024-11-27 00:00:00,20241127
45984,2025-11-25 00:00:00,20251125,202634,3,Tuesday,202511,November,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202608,2025Nov,202603,202634,2024-11-26 00:00:00,20241126
45983,2025-11-24 00:00:00,20251124,202634,2,Monday,202511,November,202504,4,2025,2025,FW25,,,SS26,FW25,2026,202608,2025Nov,202603,202634,2024-11-25 00:00:00,20241125
