ds_sid,date_sid,store_sid,date_code,store_master_code,store_code,store_name,short_name,channel,store_type,country,region,province,city,address1,address2,address3,latitude,longitude,zip_code,customer_code,customer_name,customer_sort,warehouse_code,warehouse_name,district_manager,pin_code,b1_code,fms_site_code,sit_code,sap_customer_code,area,cluster,open_date,close_date,open_flag,keep_comp,comp_flag,finance_comp,active_flag,source_interface,source_sys,hdetl_date,store_local_name,phone1,phone2,store_no,subchannel,door_type,end_partner,customer_group
20250219003650,45705,3650,2025-02-19 00:00:00,HKG_1470,UABH_HKG_1470,Olympian City,,O&O,BH,Hongkong,,,Hongkong,,,,,,,001,Retail,,,,,,,,,,1246.0000,,2024-12-24 00:00:00,9999-12-31 00:00:00,open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_SEA : store_2025022341001.csv,2025-02-23 22:31:27.891878,,,,,,,,
20250219002714,45705,2714,2025-02-19 00:00:00,HKG_1820,UAFH_HKG_1820,City Gate,,O&O,FH,Hongkong,,Hongkong,Hongkong,,,,,,,001,Retail,,,,,,,,,,2583.0000,,2020-09-19 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,Sales_Collect_SEA : store_2025022341001.csv,2025-02-23 22:31:27.891878,,,,,,,,
20250219002808,45705,2808,2025-02-19 00:00:00,HKG_2262,UABH_HKG_2262,Manning House,,O&O,BH,Hongkong,,,,,,,,,,001,Retail,,,,,,,,,,5372.0000,,2022-04-08 00:00:00,9999-12-31 00:00:00,open,,Y,,1,Table:EDW_DIM_STORE,Sales_Collect_SEA : store_2025022341001.csv,2025-02-23 22:31:27.891878,,,,,,,,
20250219001381,45705,1381,2025-02-19 00:00:00,UANTP,UANTP,UAHongKongWFH_UANTP,,FP,,Hongkong,,,,,,,,,,UAHongKongWFH,UAHONGKONGWFH,,,,,,,,,,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Sales_Collect_SPS : uaapac_locationmaster__20250222_alltradingpartners.csv,2025-02-23 13:32:26.13483,,,,,,,,
20250219002122,45705,2122,2025-02-19 00:00:00,UAHKG01,UAHKG01,HONG KONG KWUN TONG  APM SM,,FP,BH,Hongkong,,,HONG KONG,,,,,,,UAHongKongWFH,UAHONGKONGWFH,,,,,,,,,,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Sales_Collect_SPS : uaapac_locationmaster__20250222_alltradingpartners.csv,2025-02-23 13:32:26.13483,,,,,,,,
20250219002126,45705,2126,2025-02-19 00:00:00,UAHKG,UAHKG,UAHongKongWFH_UAHKG,,FP,,Hongkong,,,HONG KONG,,,,,,,UAHongKongWFH,UAHONGKONGWFH,,,,,,,,,,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Sales_Collect_SPS : uaapac_locationmaster__20250222_alltradingpartners.csv,2025-02-23 13:32:26.13483,,,,,,,,
20250219002127,45705,2127,2025-02-19 00:00:00,UAHKG03,UAHKG03,HONG KONG WAN CHAI,,FP,BH,Hongkong,,,HONG KONG,,,,,,,UAHongKongWFH,UAHONGKONGWFH,,,,,,,,,,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Sales_Collect_SPS : uaapac_locationmaster__20250222_alltradingpartners.csv,2025-02-23 13:32:26.13483,,,,,,,,
20250219002128,45705,2128,2025-02-19 00:00:00,UAHKG02,UAHKG02,HONG KONG CAUSEWAY BAY SOGO DS,,FP,BH,Hongkong,,,HONG KONG,,,,,,,UAHongKongWFH,UAHONGKONGWFH,,,,,,,,,,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Sales_Collect_SPS : uaapac_locationmaster__20250222_alltradingpartners.csv,2025-02-23 13:32:26.13483,,,,,,,,
20250219002129,45705,2129,2025-02-19 00:00:00,UAHKG04,UAHKG04,HONG KONG KOWLOON OLYMPIAN CITY,,FP,BH,Hongkong,,,HONG KONG,,,,,,,UAHongKongWFH,UAHONGKONGWFH,,,,,,,,,,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Sales_Collect_SPS : uaapac_locationmaster__20250222_alltradingpartners.csv,2025-02-23 13:32:26.13483,,,,,,,,
20250219002218,45705,2218,2025-02-19 00:00:00,UAHKG05,UAHKG05,UAHongKongWFH_UAHKG05,,FP,EC,Hongkong,,,,,,,,,,UAHongKongWFH,UAHONGKONGWFH,,,,,,,,,,0.0000,,2010-01-01 00:00:00,9999-12-31 00:00:00,Open,,Y,,1,Table:EDW_DIM_STORE,Sales_Collect_SPS : uaapac_locationmaster__20250222_alltradingpartners.csv,2025-02-23 13:32:26.13483,,,,,,,,
