ds_sid,date_sid,store_sid,date_code,store_master_code,store_code,store_name,short_name,channel,store_type,country,region,province,city,address1,address2,address3,latitude,longitude,zip_code,customer_code,customer_name,customer_sort,warehouse_code,warehouse_name,district_manager,pin_code,b1_code,fms_site_code,sit_code,sap_customer_code,area,cluster,open_date,close_date,open_flag,keep_comp,comp_flag,finance_comp,active_flag,source_interface,source_sys,hdetl_date,store_local_name,phone1,phone2,store_no,subchannel,door_type,end_partner,customer_group
20250227003485,45713,3485,2025-02-27 00:00:00,CHN_2787,DSFH_CHN_2787,Baoji Chencang Oulu Outlets FH,2787,FP,FH,Mainland,YY,Shaanxi,Baoji,,,,,,,129,YY-SX,,,,Owen Chen,,,,,0019072178,226.0000,OL,2024-04-27 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_JY : store_20250304133953.csv,2025-03-04 22:31:26.294553,Baoji Chencang Oulu Outlets FH,,,,线下,,,
20250227003486,45713,3486,2025-02-27 00:00:00,CHN_2617,DSBH_CHN_2617,Yantai Laizhou Liqun DS BHCC,2617,FP,BH,Mainland,YY,Shandong,Yantai,,,,,,,119,YY-QD,,,,Owen Chen,,,,,0019071674,258.0000,B,2024-07-01 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_JY : store_20250304133953.csv,2025-03-04 22:31:26.294553,Yantai Laizhou Liqun DS BHCC,,,,线下,,,
20250227003487,45713,3487,2025-02-27 00:00:00,CHN_2858,DSBH_CHN_2858,Dalian Zhongshan Galleria SM BHCC EVO,2858,FP,BH,Mainland,North,Liaoning,Dalian,,,,,,,106,HARBIN SEGO,,,,Qing Yan,,,,,0019071683,173.0000,B,2024-05-25 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_JY : store_20250304133953.csv,2025-03-04 22:31:26.294553,Dalian Zhongshan Galleria SM BHCC EVO,,,,线下,,,
20250227003488,45713,3488,2025-02-27 00:00:00,CHN_2850,DSFH_CHN_2850,Shenyang Dadong Longzhimeng City Outlets,2850,FP,FH,Mainland,YY,Liaoning,Shenyang,,,,,,,137,YY-SY,,,,Owen Chen,,,,,0019078476,350.0000,OL,2024-03-01 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_JY : store_20250304133953.csv,2025-03-04 22:31:26.294553,Shenyang Dadong Longzhimeng City Outlets,,,,线下,,,
20250227003489,45713,3489,2025-02-27 00:00:00,CHN_2877,DSBH_CHN_2877,Langfang Bazhou Haiyue Plaza SM BHCC EVO,2877,FP,BH,Mainland,YY,Hebei,Langfang,,,,,,,140,YY-SJZ,,,,Owen Chen,,,,,0019081381,142.0000,C,2024-04-24 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_JY : store_20250304133953.csv,2025-03-04 22:31:26.294553,Langfang Bazhou Haiyue Plaza SM BHCC EVO,,,,线下,,,
20250227003491,45713,3491,2025-02-27 00:00:00,CHN_2857,DSFH_CHN_2857,Zhengzhou Guancheng Hanghai Rd Chaoji Sports Outlets,2857,FP,FH,Mainland,YY,Henan,Zhengzhou,,,,,,,117,YY-HN,,,,Owen Chen,,,,,0019071678,208.0000,OL,2024-03-30 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_JY : store_20250304133953.csv,2025-03-04 22:31:26.294553,Zhengzhou Guancheng Hanghai Rd Chaoji Sports Outlets,,,,线下,,,
20250227003493,45713,3493,2025-02-27 00:00:00,CHN_2829,DSBH_CHN_2829,Xi'an Yanta Livat SM BHCC EVO,2829,FP,BH,Mainland,West,Shaanxi,Xian,陕西省西安市雁塔区西部大道子午大道6号西安荟聚中心 LG1D031号,,,,,,109,SHAANXI 5 RING,,,,Qing Yan,,,,,0019071656,210.0000,B,2024-04-18 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_JY : store_20250304133953.csv,2025-03-04 22:31:26.294553,宜家荟聚安德阿镆,15591822633,,,线下,,,
20250227003494,45713,3494,2025-02-27 00:00:00,CHN_2511,DSBH_CHN_2511,Xi'an Changan Sky Square SM BHCC EVO,2511,FP,BH,Mainland,YY,Shaanxi,Xian,,,,,,,129,YY-SX,,,,Owen Chen,,,,,0019072178,163.0000,B,2024-10-30 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_JY : store_20250304133953.csv,2025-03-04 22:31:26.294553,Xi'an Changan Sky Square SM BHCC EVO,,,,线下,,,
20250227003495,45713,3495,2025-02-27 00:00:00,CHN_2702,DSBH_CHN_2702,Beijing Changping Super Hopson SM BHCC EVO,2702,FP,BH,Mainland,North,Beijing,Beijing,,,,,,,136,BJYJYD,,,,Qing Yan,,,,,0019076986,144.0000,C,2024-03-15 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_JY : store_20250304133953.csv,2025-03-04 22:31:26.294553,Beijing Changping Super Hopson SM BHCC EVO,,,,线下,,,
20250227003496,45713,3496,2025-02-27 00:00:00,CHN_2855,DSBH_CHN_2855,Langfang Gu'an IGO City Plaza DS BHCC EVO,2855,FP,BH,Mainland,YY,Hebei,Langfang,,,,,,,140,YY-SJZ,,,,Owen Chen,,,,,0019081381,120.0000,C,2024-03-26 00:00:00,9999-12-31 00:00:00,Open,,N,,1,Table:EDW_DIM_STORE,Sales_Collect_JY : store_20250304133953.csv,2025-03-04 22:31:26.294553,Langfang Gu'an IGO City Plaza DS BHCC EVO,,,,线下,,,
