date_code,week_id,weekday_id,month_id,year_id,customer_name,customer_sort,store_master_code,store_code,store_name,short_name,country,region,province,city,store_type,district_manager,sub_channel,comp_flag,currency,lyd_trans,lyd_qty,lyd_amt,lyd_amt_notax,lyd_amt_usd_notax,lyd_orig_price,lyd_amt_usd,lyd_orig_price_usd_notax,lyd_disc_amt,lyd_disc_amt_notax,lyd_disc_amt_usd_notax,lyd_qty_return,lyd_amt_return,lyd_amt_return_notax,lyd_amt_return_usd_notax,lyd_trans_return,lyw_trans,lyw_qty,lyw_amt_notax,lyw_amt_usd,lyw_amt_usd_notax,ld_trans,ld_qty,ld_amt,ld_amt_notax,ld_amt_usd,lw_trans,lw_qty,lw_amt,lw_amt_notax,lw_amt_usd,lm_trans,lm_qty,lm_amt,lm_amt_notax,lm_amt_usd,trans,traffic,lyd_traffic,lyw_traffic,qty,amt,amt_notax,orig_price,amt_usd_notax,orig_price_usd_notax,disc_amt,disc_amt_notax,disc_amt_usd_notax,qty_return,amt_return,amt_return_notax,amt_return_usd_notax,trans_return,ld_traffic,lw_traffic,lm_traffic,avg_monthly_sales,channel,day_comp,week_comp,area,cluster,finance_comp,open_date,msrp,amt_target_f1,amt_notax_target_f1,qty_target_f1,trans_target_f1,traffic_target_f1,amt_usd_target_f1,amt_notax_usd_target_f1,cr_target_f1,asp_target_f1,upt_target_f1,atv_target_f1,amt_target_f0,amt_notax_target_f0,qty_target_f0,trans_target_f0,traffic_target_f0,amt_usd_target_f0,amt_notax_usd_target_f0,cr_target_f0,asp_target_f0,upt_target_f0,atv_target_f0,amt_target_f2,amt_notax_target_f2,qty_target_f2,trans_target_f2,traffic_target_f2,amt_usd_target_f2,amt_notax_usd_target_f2,cr_target_f2,asp_target_f2,upt_target_f2,atv_target_f2,amt_target_f3,amt_notax_target_f3,qty_target_f3,trans_target_f3,traffic_target_f3,amt_usd_target_f3,amt_notax_usd_target_f3,cr_target_f3,asp_target_f3,upt_target_f3,atv_target_f3,amt_target_f4,amt_notax_target_f4,qty_target_f4,trans_target_f4,traffic_target_f4,amt_usd_target_f4,amt_notax_usd_target_f4,cr_target_f4,asp_target_f4,upt_target_f4,atv_target_f4,amt_target,amt_notax_target,qty_target,trans_target,traffic_target,amt_usd_target,amt_notax_usd_target,cr_target,asp_target,upt_target,atv_target
2025-02-10,202545,2,202502,2025,HBSB,,Tiktok_0188,OLFP_Tiktok_0188,安德玛UA人从众专卖店,0188,Mainland,other,Hebei,Shijazhuang,EC,Owen Chen,EC,Y,CNY,29,30,10819.6400,9574.9025200000,1408.992495,19101.0000,1592.1615420000,2487.436368,9130.360000,8079.964470,1078.443852,0,0.000000,0.000000,0.000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP,Y,Y,0.0000,,Y,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,URUMQI ZH,,CHN_2963,DSBH_CHN_2963,Hami Yizhou Wuika Times SM BHCC EVO,2963,Mainland,West,Xinjiang,Hami,BH,Qing Yan,BH,N,CNY,,,,,,,,,,,,,,,,,,,,,,5,11,7196.0000,6368.1415300000,1003.5673520000,5,8,6751.0000,5974.3362400000,941.5068360000,1,2,1450.0000,1283.1858300000,202.2196580000,,,,,,,,,,,,,,,,,,,152,121,58,88588.000000,FP,N,N,129.0000,C,N,2024-08-16,,2099.999999,1858.407079,0.000000,0.000000,0.000000,292.869849766018566711676,259.176858233339169645596,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,2099.999999,1858.407079,0.000000,0.000000,0.000000,292.869849766018566711676,259.176858233339169645596,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,YY-QD,,CHN_2101,DSBH_CHN_2101,Yantai Laishan Mix City SM BHCC,2101,Mainland,YY,Shandong,Yantai,BH,Owen Chen,BH,Y,CNY,4,3,2449.0000,2167.2566300000,318.922132,3697.0000,360.3820100000,481.443497,1248.000000,1104.424770,162.521364,1,643.000000,569.026548,83.734966,1,3,8,4368.1415500000,726.3559020000,642.792827,3,6,3793.0000,3356.6371500000,528.9787330000,2,3,974.0000,861.9468900000,135.8358250000,4,-1,256.4900,226.9823100000,35.7705650000,,,200,176,,,,,,,,,,,,,,,115,145,131,86142.950000,FP,Y,Y,176.0000,B,Y,2021-09-30,,2375.208588,2101.954503,0.000000,0.000000,0.000000,331.250944124651444926512,293.142428477027929122972,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,2375.208588,2101.954503,0.000000,0.000000,0.000000,331.250944124651444926512,293.142428477027929122972,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,YY-CS,,CHN_2711,DSFH_CHN_2711,Xiangyang Xiangzhou HEXIN Outlets Shopping Park FH,2711,Mainland,YY,Hubei,Xiangyang,FH,Owen Chen,FH,Y,CNY,2,7,2953.0000,2613.2743100000,384.555757,4464.0000,434.5480100000,581.326420,2490.000000,2203.539770,196.770658,0,0.000000,0.000000,0.000000,0,9,15,6366.3716000000,1058.6313530000,936.841893,2,1,830.4200,734.8849400000,115.8118950000,10,26,14158.0000,12529.2034200000,1974.5006350000,5,7,6872.0000,6081.4159100000,958.3817180000,,,353,358,,,,,,,,,,,,,,,10,77,32,141732.415000,FP,Y,Y,200.0000,OL,Y,2023-08-08,,4559.999999,4035.398230,0.000000,0.000000,0.000000,635.945959655295606711676,562.784035204257749266520,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,4559.999999,4035.398230,0.000000,0.000000,0.000000,635.945959655295606711676,562.784035204257749266520,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,CHN_1687,UABH_CHN_1687,"Shanghai Cappital Luone ",SHLUONE,Mainland,East_SH,Shanghai,Shanghai,BH,East-1,BH,Y,CNY,5,11,5326.6000,4713.8052500000,693.658886,6989.0000,783.8345510000,910.145687,1662.400000,1471.150390,216.486792,0,0.000000,0.000000,0.000000,0,5,11,6985.3362300000,1161.5558070000,1027.925485,5,10,5732.5000,5073.0088600000,799.4649660000,6,13,6449.9998,5707.9644200000,899.5288060000,9,18,9440.5200,8354.4423800000,1316.5922260000,,,59,88,,,,,,,,,,,,,,,65,93,78,129150.354900,O&O,Y,Y,547.0000,,Y,2019-12-30,,6083.917634,5383.997907,11.408399,5.499591,54.372585,848.474306812802589905416,750.862218530719343537868,0.1011,533.2840,2.0744,1106.2491,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,6008.491421,5317.249046,11.268580,5.376862,51.576906,837.955228869826973468404,741.553300005751831938904,0.1042,533.2075,2.0957,1117.4717,5068.011946,4484.966324,9.245087,4.401149,46.185705,706.794237116286494318504,625.481625781435322400976,0.0952,548.1843,2.1006,1151.5201,5178.954869,4583.145902,10.357909,5.754394,64.656115,722.266540548231860649556,639.173929720789325048248,0.0889,500.0000,1.7999,900.0000,5292.014702,4683.198852,10.584029,5.880016,66.067599,738.034072129683612939448,653.127497553694341804048,0.0889,500.0000,1.8000,900.0000
2025-02-10,202545,2,202502,2025,KMYDRC,,CHN_2286,DSFH_CHN_2286,Kunming Xishan BCL Outlet,2286,Mainland,South,Yunnan,Kunming,FH,Qing Yan,FH,Y,CNY,3,5,2961.0000,2620.3539500000,385.597560,4645.0000,435.7252480000,604.897226,1684.000000,1490.265470,219.299661,0,0.000000,0.000000,0.000000,0,7,16,6024.6636200000,1001.8104850000,886.557937,7,8,3342.0000,2957.5220900000,466.0814460000,10,17,10143.0000,8976.1061300000,1414.5613750000,2,12,5992.0000,5302.6548100000,835.6553050000,,,545,632,,,,,,,,,,,,,,,690,1000,371,353234.245000,FP,Y,Y,230.0000,OL,Y,2022-04-30,,8822.369999,7807.407079,0.000000,0.000000,0.000000,1230.383894008449174591676,1088.835304465578645645596,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,8822.369999,7807.407079,0.000000,0.000000,0.000000,1230.383894008449174591676,1088.835304465578645645596,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,SH Sparkling,,CHN_2971,DSBH_CHN_2971,Jinhua Wucheng Yongsheng SM BHCC EVO,2971,Mainland,East,Zhejiang,Jinhua,BH,Qing Yan,BH,N,CNY,,,,,,,,,,,,,,,,,,,,,,2,6,4042.0000,3576.9911300000,563.7047300000,2,2,3228.0000,2856.6371600000,450.1827970000,3,3,2513.0000,2223.8937900000,350.4675870000,,,,,,,,,,,,,,,,,,,56,79,47,146418.000000,FP,N,N,306.0000,A,N,2024-07-06,,2099.999999,1858.407079,0.000000,0.000000,0.000000,292.869849766018566711676,259.176858233339169645596,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,2099.999999,1858.407079,0.000000,0.000000,0.000000,292.869849766018566711676,259.176858233339169645596,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,CHN_1953,UAFH_CHN_1953,Hangzhou Chaoshan Bailian Outlets FH,HZCS,Mainland,East_Other,Zhejiang,Hangzhou,FH,East-6,FH,Y,CNY,8,21,5778.6001,5113.8053000000,752.520798,13999.0000,850.3485210000,1823.026109,8220.399880,7274.690050,1070.505294,0,0.000000,0.000000,0.000000,0,11,27,6940.5305700000,1154.1053240000,1021.332119,11,20,5107.6000,4519.9999100000,712.3152590000,7,18,2554.0000,2260.1768800000,356.1855220000,12,28,6276.8000,5554.6901900000,875.3740440000,,,269,322,,,,,,,,,,,,,,,155,232,128,273020.307100,O&O,Y,Y,475.0000,,Y,2021-09-29,,7815.338106,6916.228413,25.994042,10.250496,175.548133,1089.941380030857842074344,964.549893917775669949812,0.0583,300.6588,2.5358,762.4351,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,7170.379884,6345.468924,23.605878,9.303616,149.266535,999.994323996359981674416,884.950729215128674043376,0.0623,303.7540,2.5372,770.7089,6136.736932,5430.740648,20.403251,8.040572,145.740282,855.840582944884895181968,757.381046883500650593952,0.0551,300.7725,2.5375,763.2214,6815.879463,6031.751738,23.912414,9.855790,119.202475,950.555045382217309290012,841.199155321514542107112,0.0826,285.0351,2.4262,691.5609,7085.521677,6270.373166,24.858410,10.245694,123.918230,988.159842878579892999348,874.477737132272350713784,0.0826,285.0351,2.4262,691.5609
2025-02-10,202545,2,202502,2025,HARBIN SEGO,,CHN_2818,DSBH_CHN_2818,Shenyang Huanggu Santaizi Mix City SM BHCC EVO,2818,Mainland,North,Liaoning,Shenyang,BH,Qing Yan,BH,Y,CNY,15,27,16878.0000,14936.2830600000,2197.945169,24823.0000,2483.6780620000,3232.586407,7945.000000,7030.973350,1034.641220,0,0.000000,0.000000,0.000000,0,11,15,7141.5928500000,1187.5389240000,1050.919391,5,8,3962.0000,3506.1946400000,552.5477830000,3,3,1477.0000,1307.0796300000,205.9851270000,1,7,6334.0000,5605.3097000000,883.3512520000,,,338,479,,,,,,,,,,,,,,,434,454,212,90086.500000,FP,Y,Y,217.0000,B,Y,2023-12-09,,4199.999999,3716.814159,0.000000,0.000000,0.000000,585.739699671498966711676,518.353716606140172579516,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,4199.999999,3716.814159,0.000000,0.000000,0.000000,585.739699671498966711676,518.353716606140172579516,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,CHN_1404,UAFH_CHN_1404R,Xi'an Saite Xianyang Apirport Outlet,1404,Mainland,West,Shan'xi,Xi'an,FH,West-2,FH,N,CNY,44,75,25187.4004,22289.7345300000,3280.040565,53885.0000,3706.4458970000,7017.198509,28697.599580,25396.105440,3737.157891,3,1535.400000,1358.761061,199.948160,3,35,64,24096.2833300000,4006.8476370000,3545.882822,35,67,21589.7998,19106.0172000000,3010.9530630000,47,80,27339.5998,24194.3357500000,3812.8307120000,29,52,18345.1999,16234.6899200000,2558.4552110000,,,819,606,,,,,,,,,,,,,,,643,879,408,773732.650900,O&O,N,N,376.0000,,N,2024-09-12,,11665.391199,10323.355044,34.870659,14.781829,185.285103,1626.876842638020019060476,1439.714020122506671706256,0.0797,334.5331,2.3590,789.1710,0.000000,0.000000,0.000000,0.000000,0.000000,0E-21,0E-21,0.0000,0.0000,0.0000,0.0000,10672.458372,9444.653427,31.902544,13.523632,169.514036,1488.400610252441763648528,1317.168681702271945686348,0.0797,334.5331,2.3590,789.1710,11005.741614,9739.594349,32.898808,13.945953,174.807679,1534.880902186037907114936,1358.301683396140518081076,0.0797,334.5331,2.3590,789.1709,13785.035870,12199.146788,43.356994,17.382989,289.716492,1922.486374375506392181880,1701.315375607849202503312,0.0599,317.9426,2.4942,793.0187,14330.384068,12681.755813,45.072235,18.070675,301.177932,1998.541633849070300022032,1768.620914995839792027412,0.0599,317.9426,2.4942,793.0187
