date_code,week_id,weekday_id,month_id,year_id,customer_name,customer_sort,store_master_code,store_code,store_name,short_name,country,region,province,city,store_type,district_manager,sub_channel,comp_flag,currency,lyd_trans,lyd_qty,lyd_amt,lyd_amt_notax,lyd_amt_usd_notax,lyd_orig_price,lyd_amt_usd,lyd_orig_price_usd_notax,lyd_disc_amt,lyd_disc_amt_notax,lyd_disc_amt_usd_notax,lyd_qty_return,lyd_amt_return,lyd_amt_return_notax,lyd_amt_return_usd_notax,lyd_trans_return,lyw_trans,lyw_qty,lyw_amt_notax,lyw_amt_usd,lyw_amt_usd_notax,ld_trans,ld_qty,ld_amt,ld_amt_notax,ld_amt_usd,lw_trans,lw_qty,lw_amt,lw_amt_notax,lw_amt_usd,lm_trans,lm_qty,lm_amt,lm_amt_notax,lm_amt_usd,trans,traffic,lyd_traffic,lyw_traffic,qty,amt,amt_notax,orig_price,amt_usd_notax,orig_price_usd_notax,disc_amt,disc_amt_notax,disc_amt_usd_notax,qty_return,amt_return,amt_return_notax,amt_return_usd_notax,trans_return,ld_traffic,lw_traffic,lm_traffic,avg_monthly_sales,channel,day_comp,week_comp,area,cluster,finance_comp,open_date,msrp,amt_target_f1,amt_notax_target_f1,qty_target_f1,trans_target_f1,traffic_target_f1,amt_usd_target_f1,amt_notax_usd_target_f1,cr_target_f1,asp_target_f1,upt_target_f1,atv_target_f1,amt_target_f0,amt_notax_target_f0,qty_target_f0,trans_target_f0,traffic_target_f0,amt_usd_target_f0,amt_notax_usd_target_f0,cr_target_f0,asp_target_f0,upt_target_f0,atv_target_f0,amt_target_f2,amt_notax_target_f2,qty_target_f2,trans_target_f2,traffic_target_f2,amt_usd_target_f2,amt_notax_usd_target_f2,cr_target_f2,asp_target_f2,upt_target_f2,atv_target_f2,amt_target_f3,amt_notax_target_f3,qty_target_f3,trans_target_f3,traffic_target_f3,amt_usd_target_f3,amt_notax_usd_target_f3,cr_target_f3,asp_target_f3,upt_target_f3,atv_target_f3,amt_target_f4,amt_notax_target_f4,qty_target_f4,trans_target_f4,traffic_target_f4,amt_usd_target_f4,amt_notax_usd_target_f4,cr_target_f4,asp_target_f4,upt_target_f4,atv_target_f4,amt_target,amt_notax_target,qty_target,trans_target,traffic_target,amt_usd_target,amt_notax_usd_target,cr_target,asp_target,upt_target,atv_target
2025-02-10,202545,2,202502,2025,Retail,,TWN_1078,DSBH_TWN_1078,Haulien Chungcheng SF,1078,Taiwan,APAC,Taiwan,Hualien,BH,Judith chen,BH,Y,TWD,19,38,77955.0000,74241.7575400000,2484.928518,105340.0000,2609.2135890000,3525.810525,27385.000000,26080.559500,916.596935,3,2690.000000,2690.000000,90.036362,1,14,24,47461.9329700000,1667.9486980000,1588.587267,,,,,,19,37,73059.0000,69584.2976400000,2320.7515700000,12,19,39025.0000,37167.0612300000,1239.6464500000,,,,,,,,,,,,,,,,,,,,,,1519536.500000,FP,Y,Y,228.6000,C,Y,2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,TWN_1065,DSBH_TWN_1065,Taichung Yichung Taiping SF,1065,Taiwan,APAC,Taiwan,Taichung,BH,Judith chen,BH,Y,TWD,40,63,142080.0000,135311.9883300000,4528.995942,183540.0000,4755.5264790000,6143.224451,41460.000000,39484.858010,1387.697971,4,13276.000000,13276.000000,444.357894,4,31,65,121331.8686100000,4264.0417470000,4061.070622,,,,,,8,14,32210.0000,30675.6512400000,1023.1649500000,13,21,46533.0000,44320.5308800000,1478.1414030000,,,,,,,,,,,,,,,,,,,,,,3371562.000000,FP,Y,Y,381.3000,C,Y,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,TWN_1324,DSFH_TWN_1324,Taichung Wuchi Mitsui FH,1324,Taiwan,APAC,Taiwan,Taichung,FH,Judith chen,FH,Y,TWD,282,747,956667.0000,911102.0751900000,30495.284660,1939460.0000,32020.3776110000,64915.212463,982793.000000,935990.452830,32894.834852,5,6823.000000,6823.000000,228.371040,5,270,644,733393.1455900000,25774.5317890000,24547.230602,,,,,,47,122,142073.0000,135306.1546400000,4513.0119190000,19,83,106270.0000,101202.9279800000,3375.7137290000,,,,,,,,,,,,,,,,,,,,,,7603071.000000,FP,Y,Y,380.7000,C,Y,2018-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,TWN_0611,DSBH_TWN_0611,New Taipei Panchiao Far Eastern Mega City DS,0611,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,63,139,268829.0000,256029.2477800000,8569.495125,368390.0000,8997.9126410000,12330.295607,99561.000000,94820.182770,3332.382966,1,1888.000000,1888.000000,63.192807,1,37,69,143311.3288700000,5036.5135630000,4796.740000,,,,,,9,13,26027.0000,24789.0924800000,826.7592090000,11,28,52286.0000,49794.5987000000,1660.8880020000,,,,,,,,,,,,,,,,,,,,,,1625502.500000,FP,Y,Y,113.9000,C,Y,2016-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,TWN_0637,DSFH_TWN_0637,Taoyuan Chungli Gloria FH,0637,Taiwan,APAC,Taiwan,Taoyuan,FH,Judith chen,FH,Y,TWD,337,807,1001972.0000,954250.3657900000,31939.491012,2063960.0000,33536.7706790000,69082.322871,1061988.000000,1011398.544480,35545.552191,8,12700.000000,12700.000000,425.078731,7,326,733,857522.3499500000,30136.7767650000,28701.930196,,,,,,35,81,97559.0000,92913.2772800000,3099.0049470000,33,87,107887.0000,102754.5713300000,3427.0784520000,,,,,,,,,,,,,,,,,,,,,,6525339.000000,FP,Y,Y,370.9000,C,Y,2015-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,TWN_1016,DSBH_TWN_1016,Tainan City T.S. Mall DS,1016,Taiwan,APAC,Taiwan,Tainan,BH,Judith chen,BH,Y,TWD,71,124,271915.0000,258963.5511900000,8667.708509,351320.0000,9101.2034260000,11758.949626,79405.000000,75623.700720,2657.746200,3,6050.000000,6050.000000,202.498136,3,61,105,223901.2340800000,7868.9102220000,7494.145886,,,,,,17,23,66088.0000,62938.4428400000,2099.3146600000,19,29,74996.0000,71423.5352200000,2382.2812350000,,,,,,,,,,,,,,,,,,,,,,1897656.500000,FP,Y,Y,164.3000,C,Y,2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,TWN_1770,DSBH_TWN_1770,Taoyuan Far Eastern DS,1770,Taiwan,APAC,Taiwan,Taoyuan,BH,Judith chen,BH,Y,TWD,31,47,102123.0000,97257.9469400000,3255.298015,141160.0000,3418.1350690000,4724.733374,39037.000000,37177.288770,1306.598305,1,1862.000000,1862.000000,62.322567,1,23,32,64337.2413300000,2261.1510900000,2153.416770,,,,,,5,10,19982.0000,19031.1875900000,634.7371010000,6,12,35256.0000,33575.5922000000,1119.9224920000,,,,,,,,,,,,,,,,,,,,,,757908.000000,FP,Y,Y,94.5000,C,Y,2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,TWN_1159,DSBH_TWN_1159,Taipei Ximending Cheng Du SF,1159,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,46,106,223570.0000,212921.7001300000,7126.652471,295500.0000,7483.0592280000,9890.611450,71930.000000,68504.760750,2407.552222,0,0.000000,0.000000,0.000000,0,45,72,136544.2313100000,4798.9045930000,4570.240059,,,,,,19,34,69068.0000,65776.9705600000,2193.9756830000,7,8,15016.0000,14301.6342200000,476.9899060000,,,,,,,,,,,,,,,,,,,,,,4661112.500000,FP,Y,Y,358.7100,C,Y,2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,TWN_0148,DSBH_TWN_0148R,Hsinchu East Far Eastern Big city DS,0148,Taiwan,APAC,Taiwan,Hsinchu,BH,Judith chen,BH,Y,TWD,69,105,240485.0000,229027.9110000000,7665.739691,311770.0000,8049.2172400000,10435.180818,71285.000000,67888.268690,2385.963577,1,2086.000000,2086.000000,69.820019,1,56,86,200944.5224200000,7062.3986360000,6725.767154,,,,,,19,40,82295.0000,78376.2392500000,2614.1372100000,15,28,48056.0000,45764.9496800000,1526.5201750000,,,,,,,,,,,,,,,,,,,,,,2098915.500000,FP,Y,Y,98.2000,C,Y,2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
2025-02-10,202545,2,202502,2025,Retail,,TWN_0393,DSBH_TWN_0393,Taipei Shilin SOGO DS,0393,Taiwan,APAC,Taiwan,Taipei,BH,Judith chen,BH,Y,TWD,32,64,129116.0000,122963.6761700000,4115.688471,176120.0000,4321.6114650000,5894.871365,47004.000000,44764.808040,1573.259900,1,3804.000000,3804.000000,127.322795,1,29,45,92931.8047000000,3266.0104360000,3110.498719,,,,,,8,13,33236.0000,31653.5132500000,1055.7562950000,14,22,38251.0000,36429.1224700000,1215.0599960000,,,,,,,,,,,,,,,,,,,,,,860814.000000,FP,Y,Y,98.2000,C,Y,2015-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000
