date_code,year_id,month_id,week_id,store_code,store_name,customer_name,channel,store_type,country,region,province,short_name,city,area,cluster,sub_channel,material,product_name,key_items,sku,style,division,gender,enduse,silhouette,sub_silhouette,fit_type,qty,lw_qty,lm_qty,amt,lw_amt,lm_amt,season_code,msrp,key_stories,product_line
2025-02-10,2025,202502,202545,0019078206,Tiktok Store,EC,EC,EC-CN,Mainland,,,Tiktok Store,,0.0000,,MarketPlace,3027593-004,UA Phantom 4,,3027593-004-8.5,3027593,Footwear,Mens,Sportstyle,Performance Sneakers,Technical Performance,Regular,-1,,,-1199.00000,,,SS25,1199.000,,Inline
2025-02-10,2025,202502,202545,150000041,EC-TMALL,EC,EC,EC-CN,Mainland,,,EC-TMALL,,0.0000,,MarketPlace,1376066-003,CLOUDSTRIKE STRETCH JKT,Shell,1376066-003-XL,1376066,Apparel,Mens,Outdoor,Outerwear,Jackets,Loose,-1,,,-1299.00000,,,SS25,1299.000,,Inline
2025-02-10,2025,202502,202545,586764,EC-TMALL Outlet,EC,EC,EC-CN,Mainland,,,EC-TMALL Outlet,,0.0000,,MarketPlace,1384224-001,Tech 1/2 Zip- Solid-BLK,Others,1384224-001-MD,1384224,Apparel,Womens,Training,Tops,Warmup Tops,Loose,-1,,1,-132.66000,,205.45000,SS25,349.000,,Inline
2025-02-10,2025,202502,202545,10000065,WXLIVESHOP,EC,EC,EC-CN,Mainland,,,WXLIVESHOP,,0.0000,,UA.com,1328495-200,UA Tech 2.0 1/2 Zip,,1328495-200-SM,1328495,Apparel,Mens,Training,Tops,Warmup Tops,Loose,-1,,,-297.00000,,,SS25,349.000,,Inline
2025-02-10,2025,202502,202545,586764,EC-TMALL Outlet,EC,EC,EC-CN,Mainland,,,EC-TMALL Outlet,,0.0000,,MarketPlace,1357447-010,MFO Vanish Woven Pant-GRY,0,1357447-010-MD,1357447,Apparel,Womens,Training,Bottoms,Fleece Bottoms,Loose,-1,-1,-1,-162.79000,-158.00000,-158.00000,FW23,449.000,Others,MFO
2025-02-10,2025,202502,202545,150000041,EC-TMALL,EC,EC,EC-CN,Mainland,,,EC-TMALL,,0.0000,,MarketPlace,1389950-100,Pjt Rck Hwt SS,,1389950-100-LG,1389950,Apparel,Mens,Sportstyle,Tops,Short-Sleeves,Loose,-1,,,-399.00000,,,SS25,399.000,,Inline
2025-02-10,2025,202502,202545,0019078206,Tiktok Store,EC,EC,EC-CN,Mainland,,,Tiktok Store,,0.0000,,MarketPlace,1390228-001,UA M OUTDOOR GRAPHIC LS-BLK,,1390228-001-XL,1390228,Apparel,Mens,Outdoor,Tops,Long-Sleeve Graphics,Loose,-1,,,-299.00000,,,SS25,299.000,,Inline
2025-02-10,2025,202502,202545,7888,EC-JD,EC,EC,EC-CN,Mainland,,,EC-JD,,0.0000,,MarketPlace,3026525-101,UA W HOVR Turbulence 2-WHT,TURBULENCE,3026525-101-6,3026525,Footwear,Womens,Running,Performance Sneakers,Technical Performance,Regular,-1,,,-409.00000,,,SS25,799.000,,Inline
2025-02-10,2025,202502,202545,0019078206,Tiktok Store,EC,EC,EC-CN,Mainland,,,Tiktok Store,,0.0000,,MarketPlace,1365662-203,UA QUALIFIER HALF ZIP-3XL,,1365662-203-XL,1365662,Apparel,Mens,Running,Tops,Warmup Tops,Fitted,-1,1,,-449.00000,599.00000,,SS25,599.000,,MFO
2025-02-10,2025,202502,202545,10000065,WXLIVESHOP,EC,EC,EC-CN,Mainland,,,WXLIVESHOP,,0.0000,,UA.com,1382797-001,UA Tech Textured 1/2 Zip-BLK,Others,1382797-001-SM,1382797,Apparel,Mens,Training,Tops,Long-Sleeves,Loose,-1,,,-199.00000,,,SS25,399.000,,Inline
2025-02-10,2025,202502,202545,586764,EC-TMALL Outlet,EC,EC,EC-CN,Mainland,,,EC-TMALL Outlet,,0.0000,,MarketPlace,3024169-001,UA W HOVR Phantom 2 INKNT PS,Phantom,3024169-001-6,3024169,Footwear,Womens,Running,Performance Sneakers,Technical Performance,Regular,-1,,-1,-390.00000,,-390.00000,FW23,1299.000,Others,MFO
2025-02-09,2025,202502,202545,DSFH_CHN_1606,"Dalian Xigang Bainian Gangwan ",HARBIN SEGO,FP,FH,Mainland,North,Liaoning,1606,Dalian,440.0000,OL,FH,1329585-100,UA SPORTSTYLE LEFT CHEST LS,Others,1329585-100-XL,1329585,Apparel,Mens,Sportstyle,Tops,Long-Sleeve Graphics,Loose,1,,,90.00000,,,SS25,299.000,,Inline
2025-02-09,2025,202502,202545,DSBH_CHN_1887,Beijing Chaoyang Galleria SM BHCC,BJYJYD,FP,BH,Mainland,North,Beijing,1887,Beijing,173.0000,B,BH,1379043-465,UA Rush Vent SS CAP,Rush HG,1379043-465-MD,1379043,Apparel,Womens,Training,Tops,Short-Sleeves,Fitted,1,,,399.00000,,,SS24,499.000,,MFO
2025-02-09,2025,202502,202545,586764,EC-TMALL Outlet,EC,EC,EC-CN,Mainland,,,EC-TMALL Outlet,,0.0000,,MarketPlace,1377374-100,UA Matchplay Polo-WHT,Others,1377374-100-XL,1377374,Apparel,Mens,Golf,Tops,Short-Sleeve Polos,Loose,-1,,,-249.27000,,,SS25,549.000,,Inline
2025-02-09,2025,202502,202545,0019079117,Tiktok Female Store,EC,EC,EC-CN,Mainland,,,Tiktok Female Store,,0.0000,,MarketPlace,1300663-289,UA Porter 3-in-1-BRN,Others,1300663-289-MD,1300663,Apparel,Mens,Outdoor,Outerwear,Jackets,Loose,1,,,849.00000,,,FW24,1699.000,,MFO
2025-02-09,2025,202502,202545,DSBH_CHN_2500,Enshi Color Cube SM BHCC,YY-CS,FP,BH,Mainland,YY,Hubei,2500,Enshi,148.0000,C,BH,1383668-001,Vanish Elite Vent SS-BLK,Rush HG,1383668-001-LG,1383668,Apparel,Mens,Training,Tops,Short-Sleeves,Fitted,1,,,359.00000,,,SS24,449.000,,Inline
2025-02-09,2025,202502,202545,DSBH_CHN_1037,"Jilin Songyuan Ningjiang Ouya ",HARBIN SEGO,FP,BH,Mainland,North,Jilin,1037,Songyuan,236.0000,B,BH,1379740-001,UA Tour Tips 5 Pocket Pant-BLK/WHT-30x34,Golf Bottom-Vanish Knit,1379740-001-36/32,1379740,Apparel,Mens,Golf,Bottoms,Pants,No Fit Type,1,,,509.00000,,,FW24,849.000,,Inline
2025-02-09,2025,202502,202545,DSBH_CHN_LCSG,Ulee licensing store,Ulee,FP,BH,Mainland,Youth,Zhejiang,LCSG,Hangzhou,0.0000,,BH,244206174-U0015,羽绒服,,244206174-U0015-YM,244206174,服装,中性,羽绒服,羽绒服,,,3,2,72,-721.55000,528.00000,26391.15000,,1199.000,,
2025-02-09,2025,202502,202545,DSBH_CHN_1278,Xiangtan Bubugao SM,CS YONGLING,FP,BH,Mainland,South,Hunan,1278,Xiangtan,228.0000,B,BH,1383043-001,UA Unstoppable Flc Trk Jkt-BLK,Unstoppable Fleece,1383043-001-LG,1383043,Apparel,Mens,Sportstyle,Tops,Fleece Tops,Loose,1,,,719.00000,,,FW24,899.000,,Inline
2025-02-09,2025,202502,202545,UAFH_CHN_2063,Chengdu Florentia Outlets,Retail,O&O,FH,Mainland,West,Sichuan,CDFO,Chengdu,264.0000,,FH,6003886-035,UA Rogue 3 Storm CN-GRY,,6003886-035-8,6003886,Footwear,Mens,Running,Performance Sneakers,Visual Cushioning,Regular,1,,,363.55000,,,FW24,799.000,,Regional Development (incl. Dome)
2025-02-09,2025,202502,202545,DSBH_CHN_1951,Beijing Tongzhou Aegean SM BHCC,BJYJYD,FP,BH,Mainland,North,Beijing,1951,Beijing,176.0000,B,BH,1376782-348,UA Vanish Elite Short,,1376782-348-LG,1376782,Apparel,Mens,Training,Bottoms,Shorts,Fitted,-1,,,-509.00000,,,SS25,599.000,,Inline
2025-02-09,2025,202502,202545,0019079117,Tiktok Female Store,EC,EC,EC-CN,Mainland,,,Tiktok Female Store,,0.0000,,MarketPlace,1321443-004,FOREFRONT RAIN JKT-BLK,Others,1321443-004-MD,1321443,Apparel,Womens,Outdoor,Outerwear,Jackets,Fitted,-2,10,2,-768.00000,3890.00000,773.00000,FW24,649.000,,MFO
2025-02-09,2025,202502,202545,DSBH_CHN_2556,Nanchang Donghu Wushang Mall SM BHCC EVO,CS YONGLING,FP,BH,Mainland,South,Jiangxi,2556,Nanchang,279.0000,B,BH,1383556-001,W Fish Pro Woven Short-BLK,Fusion,1383556-001-MD,1383556,Apparel,Womens,Fish,Bottoms,Shorts,Loose,5,,,898.00000,,,SS25,449.000,,Inline
2025-02-09,2025,202502,202545,UAFH_CHN_1953,Hangzhou Chaoshan Bailian Outlets FH,Retail,O&O,FH,Mainland,East_Other,Zhejiang,HZCS,Hangzhou,475.0000,,FH,1374495-465,UA Meridian Jacket,Meridian,1374495-465-LG,1374495,Apparel,Mens,Training,Tops,Long-Sleeves,Fitted,-1,,,-229.00000,,,SS23,749.000,Meridian,Inline
