store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel
348,CHN_1053,DSBH_CHN_1053,Harbin Jin??an Euro Plaza SM,2,7,Mainland,North,Heilongjiang,Harbin,BH,1053,395.0000,,,,,,,,2017-10-25 00:00:00,Qing Yan,Closed,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,130236,395.0000,A,2021-04-12 00:00:00,,,Sales_Collect_JY : store_20250210042918.csv,0019071683,Harbin Jin??an Euro Plaza SM,,,,,,,
41,CHN_0206,DSBH_CHN_0206E,Nanjing Qinhuai Xinbai DS Expa,2,2,Mainland,East,Jiangsu,Nanjing,BH,0206,120.0000,,,,,,,,2016-07-27 00:00:00,Qing Yan,Closed,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,-1,120.0000,C,2018-04-13 00:00:00,,,Sales_Collect_JY : store_20250210042918.csv,0019071673,Nanjing Qinhuai Xinbai DS Expa,,,,,,,
60,CHN_0258,DSBH_CHN_0258,UNDER ARMOUR 重庆凯瑞商都店,2,6,Mainland,West,Chongqing,Chongqing,BH,0258,128.0000,,,,,,,,2015-04-24 00:00:00,Qing Yan,Open,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,-1,128.0000,C,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250210042918.csv,0019071658,重庆凯瑞商都店,重庆市沙坪坝区新世纪百货凯瑞商都5楼UA专柜,,,,15823280792,,
72,CHN_0288,DSBH_CHN_0288,Chongqing Guanyingqiao NCDs,2,6,Mainland,South,Chongqing,Chongqing,BH,0288,0.0000,,,,,2354,,,2016-07-21 00:00:00,Qing Yan,Open,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,-1,0.0000,-,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250210042918.csv,0019071658,Chongqing Guanyingqiao NCDs,,,,,,,
78,CHN_0298,DSBH_CHN_0298R,Shenyang Heping Taiyuan Street Zhongxing DS BHCC Renovation,2,7,Mainland,North,Liaoning,Shenyang,BH,0298,229.0000,,,,,,,,2021-08-25 00:00:00,Qing Yan,Open,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,-1,229.0000,B,9999-12-31 00:00:00,,Y,Sales_Collect_JY : store_20250210042918.csv,0019071683,Shenyang Heping Taiyuan Street Zhongxing DS BHCC Renovation,,,,,,,
92,CHN_0336,DSBH_CHN_0336,Nanjing Grand Ocean DS,2,2,Mainland,East,Jiangsu,Nanjing,BH,0336,120.0000,,,,,,,,2015-09-25 00:00:00,Qing Yan,Open,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,-1,120.0000,C,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250210042918.csv,0019071673,Nanjing Grand Ocean DS,,,,,,,
106,CHN_0363,DSBH_CHN_0363,"Kunming Xishan Nanya shopping ",2,9,Mainland,South,Yunnan,Kunming,BH,0363,140.0000,,,,,,,,2015-10-28 00:00:00,Qing Yan,Closed,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,-1,140.0000,C,2023-05-06 00:00:00,,,Sales_Collect_JY : store_20250210042918.csv,0019087569,"Kunming Xishan Nanya shopping ",,,000-0000,,00000000,,线下
114,CHN_0380,DSBH_CHN_0380R,"Fuxin Jiefang Avenue New Mart ",2,7,Mainland,North,Liaoning,Fuxin,BH,0380,150.0000,,,,,,,,2016-09-05 00:00:00,Qing Yan,Open,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,-1,150.0000,B,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250210042918.csv,0019071683,"Fuxin Jiefang Avenue New Mart ",,,,,,,
136,CHN_0426,DSBH_CHN_0426,Chengdu Chenghua Mix City SM,2,6,Mainland,West,Sichuan,Chengdu,BH,0426,150.0000,,,,,,,,2016-02-27 00:00:00,Qing Yan,Closed,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,-1,150.0000,B,2023-03-07 00:00:00,,,Sales_Collect_JY : store_20250210042918.csv,0019071658,Chengdu Chenghua Mix City SM,,,000-0000,,00000000,,线下
147,CHN_0465,DSBH_CHN_0465,Yantai Zifu Zhenhua SM,2,20,Mainland,YY,Shandong,Yantai,BH,0465,300.0000,,,,,2098,,,2016-04-22 00:00:00,Owen Chen,Open,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,-1,300.0000,A,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250210042918.csv,0019071674,Yantai Zifu Zhenhua SM,,,,,,,
151,CHN_0475,DSBH_CHN_0475,Changzhou Zhonglou Yanlin Taif,2,2,Mainland,East,Jiangsu,Changzhou,BH,0475,170.0000,,,,,,,,2016-05-27 00:00:00,Qing Yan,Open,2025-02-10 13:33:24.883651,2025-02-10 05:35:13.021133,-1,170.0000,B,9999-12-31 00:00:00,,,Sales_Collect_JY : store_20250210042918.csv,0019071673,Changzhou Zhonglou Yanlin Taif,,,,,,,
